Rank	Rider	Team	Speed	Time
1	Ryan Farquhar	498cc BIC Paton	102.385mph	1:06.19.90
2	Alan Oversby	500cc Norton Manx	101.863mph	1:06.40.30
3	Alan Brew	Seeley G50 496cc	99.367mph	1:08.20.78
4	Wattie Brown	500cc Petty Manx	98.118mph	1:09.12.98
5	Andy Reynolds	499cc BIC Paton	97.152mph	1:09.54.28
6	Bob Price	500cc Seeley G50	96.890mph	1:10.05.64
7	Ken Davis	500cc Norton Manx	95.948mph	1:10.46.92
8	Chris Swallow	476cc Ducati	95.664mph	1:10.59.52
9	Mark Herbertson	499cc Matchless G50	95.272mph	1:11.17.05
10	Dave Madsen-Mygdal	499cc Honda	92.209mph	1:11.19.89
