Date	Opponent	Score	Loss	Attendance	Record
September 1	@ Padres	6 - 2	Hensley (8-11)	32,901	68-67
September 2	@ Padres	7 - 1	Lohse (1-2)	36,287	68-68
September 3	@ Padres	2 - 1	Cormier (2-3)	31,153	68-69
September 4	Giants	5 - 4	Weathers (4-4)	25,515	68-70
September 5	Giants	3 - 0	Morris (10-12)	20,751	69-70
September 6	Giants	3 - 2	Kim (0-1)	20,571	69-71
September 8	Pirates	9 - 1	Snell (12-10)	17,631	70-71
September 9	Pirates	7 - 4	Coffey (6-6)	25,038	70-72
September 10	Pirates	4 - 2	Youman (0-1)	20,731	71-72
September 12	Padres	5 - 4	Brocail (2-2)	15,820	72-72
September 13	Padres	10 - 0	Lohse (2-3)	21,602	72-73
September 14	Padres	4 - 2	Harang (13-11)	16,957	72-74
September 15	@ Cubs	4 - 0	Mármol (5-7)	37,188	73-74
September 16	@ Cubs	4 - 0	Michalak (1-3)	40,526	73-75
September 17	@ Cubs	11 - 3	Milton (8-8)	39,164	73-76
September 18	@ Astros	5 - 3	Lohse (2-4)	28,711	73-77
September 19	@ Astros	5 - 4	Albers (0-2)	36,930	74-77
September 20	@ Astros	7 - 2	Arroyo (14-10)	31,928	74-78
September 22	Cubs	4 - 2	Hill (6-7)	21,332	75-78
September 23	Cubs	11 - 4	Lohse (2-5)	28,264	75-79
September 24	Cubs	3 - 2	Dempster (1-9)	22,226	76-79
September 25	Cubs	5 - 4	Eyre (1-3)	16,278	77-79
September 26	@ Marlins	5 - 3	Willis (12-12)	11,422	78-79
September 27	@ Marlins	7 - 2	Michalak (2-4)	13,295	78-80
September 28	@ Marlins	5 - 1	Nolasco (11-11)	14,106	79-80
September 29	@ Pirates	5 - 2	Duke (10-15)	27,033	80-80
September 30	@ Pirates	3 - 0	Arroyo (14-11)	35,514	80-81
