Date	Opponent	Bulls.	Opp.	Venue
13/02/05	Wakefield Trinity Wildcats	16	28	Grattan Stadium
20/02/05	Widnes Vikings	22	31	Halton Stadium
25/02/05	Wigan Warriors	28	27	JJB Stadium
06/03/05	London Broncos	48	22	Grattan Stadium
11/03/05	Leigh Centurions	46	6	The Colesium
18/03/05	Hull	32	22	Grattan Stadium
24/03/05	Leeds Rhinos	12	42	Grattan Stadium
28/03/05	St Helens	27	34	Knowsley Road
03/04/05	Featherstone Rovers	80	14	Chris Moyles Stadium
10/04/05	Warrington Wolves	32	35	Warrington
17/04/05	Huddersfield Giants	54	10	Grattan Stadium
22/04/05	Wigan Warriors	40	8	Grattan Stadium
01/05/05	London Broncos	41	26	London
07/05/05	Hull	24	26	KC Stadium
13/05/05	Salford City Reds	58	0	The Williows
22/05/05	Warrington Wolves	24	44	Grattan Stadium
28/05/05	Hull	42	24	KC Stadium
05/06/05	St Helens	4	66	Grattan Stadium
11/06/05	Huddersfield Giants	20	38	Galpharm Stadium
19/06/05	Widnes Vikings	25	25	Grattan Stadium
01/07/05	Leeds Rhinos	26	36	Headingley
10/07/05	Wakefield Trinity Wildcats	34	44	Belle Vue
17/07/05	Leigh Centurions	54	12	Grattan Stadium
22/07/05	Salford City Reds	24	18	The Willows
07/08/05	Widnes Vikings	74	24	Grattan Stadium
14/08/05	Salford City Reds	58	12	Grattan Stadium
19/08/05	Leeds Rhinos	42	10	Headlingley
02/09/05	Hull	49	6	Grattan Stadium
11/09/05	Huddersfield Giants	52	34	Grattan Stadium
17/09/05	St Helens	32	18	Knowsley Road
23/09/05	London Broncos	44	22	Grattan Stadium
01/10/05	Hull	71	0	Grattan Stadium
07/10/05	St Helens	23	18	Knowsley Road
15/10/05	Leeds Rhinos	15	6	Old Trafford
