Round	Grand Prix	Pole Position	Fastest Lap	Winning Driver	Winning Constructor	Report
1	Australian Grand Prix	Mika Häkkinen	Rubens Barrichello	Michael Schumacher	Ferrari	Report
2	Brazilian Grand Prix	Mika Häkkinen	Michael Schumacher	Michael Schumacher	Ferrari	Report
3	San Marino Grand Prix	Mika Häkkinen	Mika Häkkinen	Michael Schumacher	Ferrari	Report
4	British Grand Prix	Rubens Barrichello	Mika Häkkinen	David Coulthard	McLaren - Mercedes	Report
5	Spanish Grand Prix	Michael Schumacher	Mika Häkkinen	Mika Häkkinen	McLaren - Mercedes	Report
6	European Grand Prix	David Coulthard	Michael Schumacher	Michael Schumacher	Ferrari	Report
7	Monaco Grand Prix	Michael Schumacher	Mika Häkkinen	David Coulthard	McLaren - Mercedes	Report
8	Canadian Grand Prix	Michael Schumacher	Mika Häkkinen	Michael Schumacher	Ferrari	Report
9	French Grand Prix	Michael Schumacher	David Coulthard	David Coulthard	McLaren - Mercedes	Report
10	Austrian Grand Prix	Mika Häkkinen	David Coulthard	Mika Häkkinen	McLaren - Mercedes	Report
11	German Grand Prix	David Coulthard	Rubens Barrichello	Rubens Barrichello	Ferrari	Report
12	Hungarian Grand Prix	Michael Schumacher	Mika Häkkinen	Mika Häkkinen	McLaren - Mercedes	Report
13	Belgian Grand Prix	Mika Häkkinen	Rubens Barrichello	Mika Häkkinen	McLaren - Mercedes	Report
14	Italian Grand Prix	Michael Schumacher	Mika Häkkinen	Michael Schumacher	Ferrari	Report
15	United States Grand Prix	Michael Schumacher	David Coulthard	Michael Schumacher	Ferrari	Report
16	Japanese Grand Prix	Michael Schumacher	Mika Häkkinen	Michael Schumacher	Ferrari	Report
