Team	Matches	Wins	Wins %	Draws	Draws %	Losses	Losses %	Against	For & Against Ratio
Adanaspor	2	2	100%	0	0%	0	0%	2	3.5
Admira Wacker	2	1	50%	0	0%	1	50%	2	1
AEK Athens	6	4	66.67%	1	16.67%	1	16.67%	7	2
Ajax	5	3	60%	1	20%	1	20%	5	1.2
Alavés	2	0	0%	1	50%	1	50%	5	0.6
Amsterdam	2	0	0%	1	50%	1	50%	2	0.5
Anderlecht	6	4	66.67%	1	16.67%	1	16.67%	5	2
Anorthosis	2	1	50%	1	50%	0	0%	3	1.33
Apollon Limassol	2	1	50%	1	50%	0	0%	3	1.33
Arsenal	2	1	50%	0	0%	1	50%	5	0.8
Aston Villa	4	2	50%	0	0%	2	50%	3	1.33
Atalanta	2	1	50%	1	50%	0	0%	0	Inf.
Atlético Madrid	1	0	0%	0	0%	1	100%	2	0
Austria Wien	2	0	0%	1	50%	1	50%	3	0.67
AZ Alkmaar	2	1	50%	0	0%	1	50%	1	2
Barcelona	10	2	20%	3	30%	5	50%	17	0.47
Basel	2	1	50%	1	50%	0	0%	2	2.5
Bayer Leverkusen	2	2	100%	0	0%	0	0%	2	2.5
Bayern Munich	7	3	42.86%	1	14.29%	3	42.86%	9	1
Belgrade XI	2	1	50%	0	0%	1	50%	1	5
Benfica	3	2	66.67%	1	33.33%	0	0%	3	1.67
Beşiktaş	2	1	50%	1	50%	0	0%	1	3
Beveren	2	0	0%	1	50%	1	50%	1	0
Birmingham City	4	0	0%	1	25%	3	75%	6	0.5
Boavista	4	2	50%	1	25%	1	25%	3	2.67
Bodø/Glimt	2	2	100%	0	0%	0	0%	1	7
Borussia Dortmund	4	2	50%	1	25%	1	25%	5	1.6
Borussia Mönchengladbach	4	1	25%	2	50%	1	25%	6	1.17
Brage	2	2	100%	0	0%	0	0%	2	2
Braşov	2	2	100%	0	0%	0	0%	0	Inf.
Budapest Honvéd	2	0	0%	1	50%	1	50%	2	0.5
Cagliari	2	1	50%	0	0%	1	50%	3	1.67
