Date	Tournament	Surface	Opponent in Final	Score in Final
18 March 1985	Rotterdam	Carpet	Jakob Hlasek	6–1, 6–2
29 April 1985	Hamburg	Clay	Henrik Sundström	6–4, 6–1, 6–4
4 April 1986	Kitzbühel	Clay	Andrés Gómez	6–4, 4–6, 6–1, 2–6, 6–3
5 January 1987	Auckland	Hard	Michiel Schapers	6–2, 6–3, 6–4
26 January 1987	Sydney	Hard	Peter Doohan	6–2, 6–4
23 February 1987	Miami	Hard	Ivan Lendl	7–5, 6–2, 7–5
7 April 1987	Dallas , – WCT Finals	Carpet	John McEnroe	6–0, 3–6, 6–2, 6–2
13 July 1987	Stuttgart	Clay	Jan Gunnarsson	6–0, 6–2
27 July 1987	Hilversum	Clay	Guillermo Pérez Roldán	6–4, 1–6, 6–3, 6–2
20 September 1988	Seoul Olympics	Hard	Tim Mayotte	3–6, 6–2, 6–4, 6–2
13 March 1989	Indian Wells	Hard	Yannick Noah	3–6, 2–6, 6–1, 6–2, 6–3
