Member	Party	Electorate	State	Term in office
Ken Aldred	Liberal	Deakin	Vic	1975–1980, 1983–1996
John Anderson	National	Gwydir	NSW	1989–2007
Neil Andrew	Liberal	Wakefield	SA	1983–2004
Kevin Andrews [1 ]	Liberal	Menzies	Vic	1991–present
Rod Atkinson	Liberal	Isaacs	Vic	1990–1996
Fran Bailey	Liberal	McEwen	Vic	1990–1993, 1996–2010
Peter Baldwin	Labor	Sydney	NSW	1983–1998
Julian Beale	Liberal	Bruce	Vic	1984–1996
Hon Kim Beazley	Labor	Swan	WA	1980–2007
David Beddall	Labor	Rankin	Qld	1983–1998
Arch Bevis	Labor	Brisbane	Qld	1990–2010
Gordon Bilney	Labor	Kingston	SA	1983–1996
Hon Dr Neal Blewett	Labor	Bonython	SA	1977–1994
John Bradford	Liberal	McPherson	Qld	1990–1998
Ray Braithwaite	National	Dawson	Qld	1975–1996
Hon Laurie Brereton	Labor	Kingsford-Smith	NSW	1990–2004
Russell Broadbent	Liberal	Corinella	Vic	1990–1993, 1996–1998, 2004–present
Hon Bob Brown	Labor	Charlton	NSW	1980–1998
Hon Neil Brown [1 ]	Liberal	Menzies	Vic	1969–1972, 1975–1983, 1984–1991
Max Burr	Liberal	Lyons	Tas	1975–1993
Alan Cadman	Liberal	Mitchell	NSW	1974–2007
Ewen Cameron	Liberal	Indi	Vic	1977–1993
Graeme Campbell	Labor	Kalgoorlie	WA	1980–1998
Hon Jim Carlton	Liberal	Mackellar	NSW	1977–1994
Dr Bob Catley	Labor	Adelaide	SA	1990–1993
Dr Ric Charlesworth	Labor	Perth	WA	1983–1993
Hon Fred Chaney	Liberal	Pearce	WA	1990–1993
Bob Charles	Liberal	La Trobe	Vic	1990–2004
Phil Cleary [2 ]	Independent	Wills	Vic	1992, 1993–1996
Michael Cobb	National	Parkes	NSW	1984–1998
David Connolly	Liberal	Bradfield	NSW	1974–1996
Peter Costello	Liberal	Higgins	Vic	1990–2009
Brian Courtice	Labor	Hinkler	Qld	1987–1993
Bruce Cowan	National	Lyne	NSW	1980–1993
Mary Crawford	Labor	Forde	Qld	1987–1996
Simon Crean	Labor	Hotham	Vic	1990–2013
Hon Janice Crosio	Labor	Prospect	NSW	1990–2004
Hon Elaine Darling	Labor	Lilley	Qld	1980–1993
Hon John Dawkins	Labor	Fremantle	WA	1974–1975, 1977–1994
Hon Don Dobie	Liberal	Cook	NSW	1966–1972, 1975–1998
Alexander Downer	Liberal	Mayo	SA	1984–2008
Stephen Dubois	Labor	St George	NSW	1984–1993
Hon Michael Duffy	Labor	Holt	Vic	1980–1996
Hon Peter Duncan	Labor	Makin	SA	1984–1996
Dr Harry Edwards	Liberal	Berowra	NSW	1972–1993
Ron Edwards	Labor	Stirling	WA	1983–1993
Paul Elliott	Labor	Parramatta	NSW	1990–1996
Wendy Fatin	Labor	Brand	WA	1983–1996
Laurie Ferguson	Labor	Reid	NSW	1990–present
Hon Wal Fife	Liberal	Hume	NSW	1975–1993
Paul Filing	Liberal	Moore	WA	1990–1998
Tim Fischer	National	Farrer	NSW	1984–2001
Peter Fisher	National	Mallee	Vic	1972–1993
Eric Fitzgibbon	Labor	Hunter	NSW	1984–1996
Frank Ford	Liberal	Dunkley	Vic	1990–1993
Ross Free	Labor	Lindsay	NSW	1980–1996
Christine Gallus	Liberal	Hawker	SA	1990–2004
John Gayler	Labor	Leichhardt	Qld	1983–1993
George Gear	Labor	Canning	WA	1983–1996
Garrie Gibson	Labor	Moreton	Qld	1990–1996
Bruce Goodluck	Liberal	Franklin	Tas	1975–1993
Russ Gorman	Labor	Greenway	NSW	1983–1996
Ted Grace	Labor	Fowler	NSW	1984–1998
Alan Griffiths	Labor	Maribyrnong	Vic	1983–1996
Steele Hall	Liberal	Boothby	SA	1981–1996
Bob Halverson	Liberal	Casey	Vic	1984–1998
Hon Gerry Hand	Labor	Melbourne	Vic	1983–1993
Hon Bob Hawke [2 ]	Labor	Wills	Vic	1980–1992
David Hawker	Liberal	Wannon	Vic	1983–2010
Dr John Hewson	Liberal	Wentworth	NSW	1987–1995
Noel Hicks	National	Riverina-Darling	NSW	1980–1998
Hon Clyde Holding	Labor	Melbourne Ports	Vic	1977–1998
Colin Hollis	Labor	Throsby	NSW	1983–1998
