Name	Gender	Area	Authority	Decile	Roll
Adventure School	Coed	Whitby	State	10	406
Aotea College	Coed	Porirua	State	5	969
Bishop Viard College	Coed	Porirua	Integrated	2	444
Brandon Intermediate	Coed	Cannons Creek	State	1	144
Cannons Creek School	Coed	Porirua East	State	1	175
Corinna School	Coed	Porirua East	State	1	224
Discovery School	Coed	Whitby	State	10	449
Glenview School	Coed	Porirua East	State	1	73
Holy Family School	Coed	Cannons Creek	Integrated	1	176
Mahinawa Specialist School	Coed	Porirua	State	4	63
Mana College	Coed	Porirua	State	2	350
Maraeroa School	Coed	Porirua East	State	1	131
Natone Park School	Coed	Waitangirua	State	1	132
Ngati Toa School	Coed	Titahi Bay	State	2	165
Papakowhai School	Coed	Papakowhai	State	9	342
Paremata School	Coed	Paremata	State	9	391
Pauatahanui School	Coed	Pauatahanui	State	10	177
Plimmerton School	Coed	Plimmerton	State	10	515
Porirua College	Coed	Cannons Creek	State	1	548
Porirua East School	Coed	Porirua East	State	2	122
Porirua School	Coed	Elsdon	State	2	149
Postgate School	Coed	Whitby	State	4	306
Pukerua Bay School	Coed	Pukerua Bay	State	10	176
Rangikura School	Coed	Ascot Park	State	2	348
Russell School	Coed	Cannons Creek	State	1	130
Samuel Marsden Collegiate School	Coed	Whitby	Private	10	163
St Pius X School	Coed	Titahi Bay	Integrated	4	110
St Theresa's School	Coed	Plimmerton	Integrated	10	176
Tairangi School	Coed	Waitangirua	State	1	160
Te Kura Maori O Porirua	Coed	Waitangirua	State	3	243
Titahi Bay Intermediate	Coed	Titahi Bay	State	2	175
Titahi Bay North School	Coed	Titahi Bay	State	2	100
Titahi Bay School	Coed	Titahi Bay	State	3	389
Wellington Seventh-day Adventist School	Coed	Porirua	Integrated	2	55
Windley School	Coed	Porirua East	State	1	324
