Place	Player	Country	Score	To par
1	J. B. Holmes	United States	71-68=139	–1
T2	Ben Curtis	United States	73-67=140	E
T2	Justin Rose	England	73-67=140	E
T2	Charlie Wi	South Korea	70-70=140	E
T5	Henrik Stenson	Sweden	71-70=141	+1
T5	David Toms	United States	72-69=141	+1
T8	Aaron Baddeley	Australia	71-71=142	+2
T8	Ángel Cabrera	Argentina	70-72=142	+2
T8	Ken Duke	United States	69-73=142	+2
T8	Sergio García	Spain	69-73=142	+2
T8	Sean O'Hair	United States	69-73=142	+2
T8	Jeev Milkha Singh	India	68-74=142	+2
T8	Brandt Snedeker	United States	71-71=142	+2
