English name	Thai name	Abbr.	Transcription	Sanskrit word	Zodiac sign
January	มกราคม	ม.ค.	mokarakhom	mokara "sea-monster"	Capricorn
February	กุมภาพันธ์	ก.พ.	kumphaphan	kumbha "pitcher, water-pot"	Aquarius
March	มีนาคม	มี.ค.	minakhom	mīna "(a specific kind of) fish"	Pisces
April	เมษายน	เม.ย.	mesayon	meṣa "ram"	Aries
May	พฤษภาคม	พ.ค.	phruetsaphakhom	vṛṣabha "bull"	Taurus
June	มิถุนายน	มิ.ย.	mithunayon	mithuna "a pair"	Gemini
July	กรกฎาคม	ก.ค.	karakadakhom	karkaṭa "crab"	Cancer
August	สิงหาคม	ส.ค.	singhakhom	siṃha "lion"	Leo
September	กันยายน	ก.ย.	kanyayon	kanyā "girl"	Virgo
October	ตุลาคม	ต.ค.	tulakhom	tulā "balance"	Libra
November	พฤศจิกายน	พ.ย.	phruetsachikayon	vṛścika "scorpion"	Scorpio
