Place	Player	Country	Score	To par	Money ( $ )
1	Tommy Aaron	United States	68-73-74-68=283	–5	30,000
2	J. C. Snead	United States	70-71-73-70=284	–4	22,500
T3	Jim Jamieson	United States	73-71-70-71=285	–3	12,500
T3	Jack Nicklaus	United States	69-77-73-66=285	–3	12,500
T3	Peter Oosterhuis	England	73-70-68-74=285	–3	12,500
T6	Bob Goalby	United States	73-70-71-74=288	E	6,250
T6	Johnny Miller	United States	75-69-71-73=288	E	6,250
T8	Bruce Devlin	Australia	73-72-72-72=289	+1	4,250
T8	Jumbo Ozaki	Japan	69-74-73-73=289	+1	4,250
T10	Gay Brewer	United States	75-66-74-76=291	+3	3,425
T10	Gardner Dickinson	United States	74-70-72-75=291	+3	3,425
T10	Don January	United States	75-71-75-70=291	+3	3,425
T10	Chi-Chi Rodríguez	United States	72-70-73-76=291	+3	3,425
