Name	Circuit	Date	Winning driver	Winning constructor	Report
Pozzo Circuit	Verona	21 March	Alessandro Consonno	Bugatti	Report
Rome Grand Prix	Valle Giulia	28 March	Aymo Maggi	Bugatti	Report
Provence Grand Prix	Miramas	28 March	Henry Segrave	Talbot	Report
Alessandria Circuit	Alessandria	4 April	Giovanni Alloatti	Bugatti	Report
Coppa Florio	Madonie	25 April	Meo Constantini	Bugatti	Report
Targa Florio	Madonie	25 April	Meo Constantini	Bugatti	Report
Coppa Vinci	Messina	2 May	Renato Balestrero	O.M.	Report
Tripoli Grand Prix	Tripoli	2 May	François Eysermann	Bugatti	Report
Savio Circuit	Ravenna	23 May	Gastone Brilli-Peri	Ballot	Report
Perugia Cup	Perugia	30 May	Emilio Materassi	Itala	Report
Mugello Circuit	Mugello	27 June	Emilio Materassi	Itala	Report
Camaiore Circuit	Camaiore	18 July	Baconin Borzacchini	Salmson	Report
Spanish Grand Prix	Lasarte	25 July	Meo Constantini	Bugatti	Report
Grand Prix de la Marne	Reims-Gueux	25 July	François Lescot	Bugatti	Report
Grand Prix du Comminges	Saint-Gaudens	1 August	Louis Chiron	Bugatti	Report
Coppa Acerbo	Pescara	7 August	Luigi Spinozzi	Bugatti	Report
Coppa Montenero	Montenero	15 August	Emilio Materassi	Itala	Report
Boulogne Grand Prix	Boulogne	28 August	George Eyston	Bugatti	Report
La Baule Grand Prix	La Baule	28 August	Louis Wagner	Delage	Report
Milan Grand Prix	Monza	12 September	Meo Constantini	Bugatti	Report
Solituderennen	Solitude	12 September	Otto Merz	Mercedes	Report
Junior Car Club 200mile race	Brooklands	25 September	Henry Segrave	Delage	Report
Grand Prix du Salon	Montlhéry	17 October	Albert Divo	Talbot	Report
Garda Circuit	Salò	17 October	Aymo Maggi	Bugatti	Report
