Week	Date	Opponent	Result	Attendance
1	September 1, 1996	Philadelphia Eagles	L 17-14	53,415
2	September 8, 1996	Chicago Bears	W 10-3	52,711
3	September 15, 1996	at New York Giants	W 31-10	71,693
4	September 22, 1996	at St. Louis Rams	W 17-10	62,303
5	September 29, 1996	New York Jets	W 31-16	52,068
6	Bye	Bye	Bye	Bye
7	October 13, 1996	at New England Patriots	W 27-22	59,638
8	October 20, 1996	New York Giants	W 31-21	52,684
9	October 27, 1996	Indianapolis Colts	W 31-16	54,254
10	November 3, 1996	at Buffalo Bills	L 38-13	78,002
11	November 10, 1996	Arizona Cardinals	L 37-34 OT	51,929
12	November 17, 1996	at Philadelphia Eagles	W 26-21	66,834
13	November 24, 1996	San Francisco 49ers	L 19-16	54,235
14	November 28, 1996	at Dallas Cowboys	L 21-10	64,955
15	December 8, 1996	at Tampa Bay Buccaneers	L 24-10	44,733
16	December 15, 1996	at Arizona Cardinals	L 27-26	34,260
17	December 22, 1996	Dallas Cowboys	W 37-10	56,454
