County	Obama%	Obama#	McCain%	McCain#	Others%	Others	Total
Adams	36.6%	4170	60.7%	6914	2.7%	304	11388
Allen	38.8%	19521	59.6%	29941	1.6%	801	50263
Ashland	37.0%	9300	60.2%	15158	2.8%	710	25168
Ashtabula	55.8%	25027	42.2%	18949	2.0%	898	44874
Athens	66.6%	20722	31.3%	9742	2.0%	634	31098
Auglaize	28.6%	6727	69.8%	16395	1.5%	364	23486
Belmont	50.3%	16302	47.6%	15422	2.1%	687	32411
Brown	37.3%	7503	60.6%	12192	2.1%	418	20113
Butler	38.0%	66030	60.6%	105340	1.4%	2406	173776
Carroll	46.0%	6423	50.9%	7097	3.1%	433	13953
Champaign	39.1%	7385	59.0%	11141	1.9%	361	18887
Clark	47.9%	31958	50.4%	33634	1.8%	1178	66770
Clermont	33.1%	31611	65.5%	62559	1.4%	1310	95480
Clinton	34.0%	6558	64.3%	12410	1.8%	338	19306
Columbiana	45.1%	21882	52.8%	25585	2.1%	1020	48487
Coshocton	45.6%	7689	51.4%	8675	3.0%	499	16863
Crawford	39.1%	8288	58.2%	12316	2.7%	569	21173
Cuyahoga	68.9%	458204	30.0%	199864	1.1%	7049	665117
Darke	30.9%	7964	67.0%	17290	2.1%	539	25793
Defiance	43.8%	8399	54.2%	10407	2.0%	391	19197
Delaware	39.7%	36653	59.3%	54778	1.1%	988	92419
Erie	56.1%	23148	42.3%	17432	1.6%	649	41229
Fairfield	40.7%	29250	57.8%	41580	1.6%	1116	71946
Fayette	37.6%	4401	60.7%	7102	1.6%	191	11694
Franklin	59.7%	334684	39.0%	218478	1.3%	7129	560291
Fulton	45.1%	9900	53.2%	11689	1.7%	384	21973
Gallia	35.9%	4777	61.9%	8247	2.2%	294	13318
Geauga	41.6%	21250	56.9%	29096	1.5%	756	51102
Greene	40.1%	33540	58.5%	48936	1.3%	1113	83589
Guernsey	44.0%	7625	53.1%	9197	2.9%	503	17325
Hamilton	53.0%	224644	46.0%	195107	1.0%	4334	424085
Hancock	37.6%	13870	60.8%	22420	1.6%	591	36881
Hardin	38.2%	5013	59.1%	7749	2.7%	352	13114
Harrison	47.3%	3683	49.7%	3872	3.0%	232	7787
Henry	42.6%	6320	55.5%	8239	1.9%	281	14840
Highland	35.7%	6857	62.1%	11908	2.2%	423	19188
Hocking	48.3%	6231	49.1%	6326	2.6%	338	12895
Holmes	28.3%	3141	69.5%	7720	2.3%	252	11113
Huron	47.2%	12076	50.4%	12884	2.4%	622	25582
Jackson	38.6%	5397	58.7%	8219	2.7%	377	13993
Jefferson	49.1%	17635	48.9%	17559	2.1%	745	35939
Knox	39.0%	11014	58.9%	16640	2.0%	577	28231
Lake	49.6%	60155	48.7%	59142	1.7%	2038	121335
Lawrence	41.4%	11262	56.7%	15415	1.9%	517	27194
Licking	41.2%	33896	57.0%	46886	1.8%	1501	82283
Logan	35.7%	7936	62.3%	13848	1.9%	433	22217
Lorain	58.1%	85276	40.2%	59068	1.7%	2515	146859
Lucas	65.0%	142852	33.5%	73706	1.5%	3273	219831
Madison	37.4%	6532	60.8%	10603	1.8%	316	17451
Mahoning	62.2%	79173	35.6%	45319	2.1%	2711	127203
Marion	44.4%	12870	53.3%	15454	2.4%	693	29017
Medina	45.2%	40924	53.3%	48189	1.5%	1338	90451
Meigs	39.5%	4094	58.1%	6015	2.4%	245	10354
Mercer	27.5%	5853	71.0%	15100	1.5%	318	21271
Miami	34.8%	18372	63.3%	33417	1.9%	1018	52807
Monroe	53.1%	3705	43.9%	3066	3.0%	211	6982
Montgomery	52.5%	145997	46.3%	128679	1.3%	3535	278211
Morgan	44.9%	2966	52.1%	3440	3.1%	202	6608
Morrow	37.1%	6177	60.5%	10067	2.4%	399	16643
Muskingum	45.4%	17730	52.6%	20549	2.0%	792	39071
Noble	40.1%	2474	55.9%	3450	4.0%	248	6172
Ottawa	52.2%	12049	46.0%	10618	1.7%	402	23069
Paulding	42.6%	4165	54.4%	5317	2.9%	287	9769
Perry	47.1%	7261	50.1%	7721	2.7%	422	15404
Pickaway	38.3%	9077	60.0%	14228	1.8%	421	23726
Pike	48.2%	6033	49.3%	6162	2.5%	311	12506
Portage	53.5%	41856	44.5%	34822	2.0%	1528	78206
Preble	33.3%	6999	64.6%	13562	2.1%	441	21002
Putnam	28.3%	5281	70.0%	13072	1.8%	327	18680
Richland	42.1%	25727	55.7%	34034	2.2%	1361	61122
Ross	45.4%	14455	52.6%	16759	2.0%	626	31840
Sandusky	51.4%	15601	46.7%	14190	1.9%	582	30373
Scioto	45.8%	14926	52.2%	16994	2.0%	651	32571
Seneca	47.7%	13087	50.4%	13823	2.0%	539	27449
Shelby	30.9%	7317	67.3%	15924	1.8%	427	23668
Stark	51.7%	96990	46.3%	86743	2.0%	3812	187545
Summit	57.6%	155105	41.1%	110499	1.3%	3455	269059
Trumbull	60.0%	64145	37.6%	40164	2.4%	2602	106911
Tuscarawas	50.1%	21498	47.6%	20454	2.3%	998	42950
Union	35.1%	8761	63.2%	15744	1.7%	423	24928
Van Wert	35.3%	5178	62.6%	9168	2.1%	306	14652
Vinton	43.6%	2463	53.5%	3021	2.9%	162	5646
Warren	31.4%	33398	67.5%	71691	1.1%	1127	106216
Washington	41.3%	12368	56.9%	17019	1.8%	545	29932
Wayne	41.6%	21712	56.3%	29342	2.1%	1088	52142
Williams	44.4%	8174	53.7%	9880	1.9%	343	18397
Wood	52.7%	34285	45.6%	29648	1.7%	1090	65023
