Region (year)	No. 1	No. 2	No. 3	No. 4	No. 5	No. 6	No. 7	No. 8	No. 9	No. 10
Alabama (2009)	William	James	Jacob	Jackson	John	Joshua	Jayden	Christopher	Michael	Ethan
Alaska (2009)	Michael	Ethan	Logan	Samuel	Elijah	James	Joseph	William	David	Gabriel
Arizona (2009)	Jacob	Alexander	Daniel	Angel	Anthony	Ethan	David	Michael	Aiden	Jose
Arkansas (2009)	William	Jacob	Ethan	Joshua	Jayden	Noah	Christopher	Jackson	Landon	Aiden
California (2009)	Daniel	Anthony	Angel	Jacob	Alexander	Ethan	David	Andrew	Matthew	Joshua
Colorado (2009)	Alexander	Jacob	Noah	William	Benjamin	Ethan	Logan	Daniel	David	Jackson
Connecticut (2009)	Michael	Ryan	Alexander	Matthew	Jayden	Ethan	William	Anthony	Joshua	Christopher
Delaware (2009)	Alexander	Michael	James	Jayden	Ethan	Matthew	William	Logan	Aiden	Chase
District of Columbia (2009)	William	Michael	James	Alexander	Daniel	Christopher	John	Joshua	Elijah	Jacob
Florida (2009)	Jayden	Michael	Joshua	Jacob	Anthony	Christopher	Ethan	Daniel	Alexander	Noah
Georgia (2009)	William	Christopher	Joshua	James	Jayden	Jacob	Michael	Christian	Ethan	Noah
Hawaii (2009)	Ethan	Noah	Jayden	Joshua	Elijah	Caleb	Jacob	Aiden	Gabriel	Isaiah
Idaho (2009)	Logan	Jacob	Ethan	William	Wyatt	Jackson	Noah	Aiden	Mason	Alexander
Illinois (2009)	Alexander	Daniel	Jacob	Michael	Anthony	Ethan	Joshua	William	Nathan	Aiden
Indiana (2009)	Ethan	Noah	Jacob	Logan	Elijah	Aiden	Alexander	William	Jackson	Gavin
Iowa (2009)	Jacob	Ethan	Carter	Noah	William	Owen	Jackson	Gavin	Logan	Mason
Kansas (2009)	Ethan	William	Jacob	Alexander	Noah	Aiden	Jackson	Gabriel	Logan	Joshua
Kentucky (2009)	Jacob	William	James	Ethan	Noah	Landon	Aiden	Brayden	Elijah	Jackson
Louisiana (2009)	Jayden	Ethan	Landon	Joshua	Noah	William	Michael	Aiden	John	Christopher
Maine (2009)	Noah	Logan	Jacob	Owen	Aiden	Landon	William	Michael	Carter	Wyatt
Maryland (2009)	Michael	Jayden	Joshua	Ethan	William	Alexander	Jacob	Matthew	Noah	Ryan
Massachusetts (2009)	Ryan	Jacob	William	Michael	Matthew	Benjamin	John	Anthony	Alexander	Jack
Michigan (2009)	Jacob	Ethan	Logan	Noah	Aiden	Michael	Alexander	Joshua	Andrew	William
Minnesota (2009)	Logan	Benjamin	William	Ethan	Jacob	Alexander	Owen	Carter	Samuel	Noah
Mississippi (2009)	William	Jayden	James	Christopher	Joshua	John	Michael	Ethan	Landon	Jacob
Missouri (2009)	Jacob	Ethan	William	Jackson	Logan	Aiden	Noah	Michael	Landon	Gavin
Montana (2009)	Ethan	Wyatt	Logan	Landon	James	William	Jacob	Liam	Benjamin	Isaac
Nebraska (2009)	Alexander	Carter	Noah	William	Jacob	Ethan	Logan	Samuel	Landon	Gavin
Nevada (2009)	Anthony	Jacob	Daniel	Michael	Alexander	Ethan	Jayden	Angel	David	Aiden
New Hampshire (2009)	Logan	Jacob	Liam	Aiden	Ryan	Ethan	Matthew	Benjamin	Gavin	William
New Jersey (2009)	Michael	Matthew	Anthony	Jayden	Ryan	Daniel	Joseph	Christopher	Alexander	Nicholas
New Mexico (2009)	Aiden	Noah	Joshua	Jacob	Gabriel	Michael	Isaiah	Daniel	Elijah	Josiah
New York (2009)	Michael	Jayden	Matthew	Ethan	Daniel	Ryan	Anthony	Joseph	Jacob	Christopher
North Carolina (2009)	William	Jacob	Christopher	Noah	Joshua	Ethan	Michael	Alexander	Elijah	James
North Dakota (2009)	Ethan	Logan	Jack	Carter	Jacob	Mason	Brayden	Gavin	Aiden	Jackson
Ohio (2009)	Jacob	Noah	Ethan	Logan	William	Aiden	Michael	Andrew	Alexander	James
Oklahoma (2009)	Ethan	Jacob	Noah	William	Joshua	Aiden	James	Michael	Gabriel	Logan
Oregon (2009)	Alexander	Logan	Jacob	Daniel	Ethan	Gabriel	Noah	Elijah	William	Benjamin
Pennsylvania (2009)	Michael	Jacob	Ethan	Logan	Matthew	Ryan	Alexander	Chase	Joseph	Aiden
Puerto Rico (2009)	Luis	Angel	Adrian	Jose	Diego	Sebastian	Carlos	Ian	Gabriel	Yadiel
Rhode Island (2009)	Anthony	Jayden	Logan	Jacob	Michael	Aiden	Joseph	Joshua	Matthew	Benjamin
South Carolina (2009)	William	Jayden	Christopher	James	Jacob	Joshua	Michael	Jackson	Noah	Caleb
South Dakota (2009)	Ethan	Noah	Gavin	Logan	Jackson	Aiden	Jacob	Mason	Wyatt	Carter
Tennessee (2009)	William	Jacob	Joshua	Noah	Ethan	James	Elijah	Jackson	Michael	Aiden
Texas (2009)	Jose	Daniel	Jacob	Angel	Christopher	David	Ethan	Joshua	Jayden	Alexander
Utah (2009)	Ethan	William	Jacob	Isaac	James	Mason	Benjamin	Samuel	Joshua	Logan
Vermont (2009)	Noah	William	Owen	Logan	Aiden	Hunter	Jackson	Jacob	Carter	Wyatt
Virginia (2009)	William	Jacob	Michael	Noah	Ethan	Christopher	Joshua	Alexander	James	Jayden
Washington (2009)	Alexander	Jacob	Ethan	William	Daniel	Logan	Benjamin	Aiden	Samuel	David
West Virginia (2009)	Jacob	Hunter	Ethan	Noah	Aiden	Brayden	Logan	Landon	Elijah	James
Wisconsin (2009)	Ethan	Jacob	Noah	Logan	Mason	Alexander	Aiden	Owen	Carter	Jackson
Wyoming (2009)	Wyatt	William	Aiden	Jacob	Mason	Noah	Hunter	Logan	James	Brayden
