Munsee Delaware	Unami Delaware	De Laet (1633)	Campanius (ca. 1645)	Interpreter (1684?)	Thomas (1698)
nkwə́ti	kwə́t·i	cotté	ciútte	Cutte	Kooty
ní·ša	ní·š·a	nyssé	nissa	Nisha	nisha
nxá	naxá	nacha	náha	Necca	nacha
né·wa	né·wa	wywe	næwo	Neuwa	neo
ná·lan	palé·naxk	parenagh	parenach	Palenah	pelenach
nkwə́ta·š	kwə́t·a·š	cottash	ciuttas	Cuttas	Kootash
ní·ša·š	ní·š·a·š	nyssas	nissas	Neshas	nishash
(n)xá·š	xá·š	gechas	haas	Haas	choesh
nó·li·	pé·škunk	pescon	paéschun	Pescunk	peskonk
wí·mpat	télən	terren	thæræn	Tellen	telen
