Athlete	Sport	Asian Games	Gold	Silver	Bronze	Total
Mohammad Nassiri	Weightlifting	1966–1974	4	1	0	5
Moslem Eskandar-Filabi	Wrestling	1966–1974	4	0	0	4
Reza Soukhteh-Saraei	Wrestling	1974–1990	3	1	0	4
Houshang Kargarnejad	Weightlifting	1970–1974	3	0	1	4
Alireza Heidari	Wrestling	1998–2006	3	0	0	3
Jalal Keshmiri	Athletics	1966–1974	2	3	1	6
Hassan Arianfard	Cycling	1970–1974	2	1	0	3
Jasem Vishgahi	Karate	2002–2010	2	1	0	3
Akbar Shokrollahi	Weightlifting	1974	2	1	0	3
Ali Vali	Weightlifting	1974	2	1	0	3
Teymour Ghiasi	Athletics	1966–1974	2	0	1	3
Hossein Rezazadeh	Weightlifting	1998–2006	2	0	1	3
