Season	Player	Club	Nationality	Goals
2008	Roberto Brown	Montreal Impact	Panama	2
2008	Rohan Ricketts	Toronto FC	England	2
2008	Eduardo Sebrango	Vancouver Whitecaps	Cuba	2
2009	Dwayne De Rosario	Toronto FC	Canada	3
2010	Chad Barrett	Toronto FC	United States	1
2010	Philippe Billy	Montreal Impact	France	1
2010	Peter Byers	Montreal Impact	Antigua and Barbuda	1
2010	Dwayne De Rosario	Toronto FC	Canada	1
2010	Marcus Haber	Vancouver Whitecaps	Canada	1
2010	Ty Harden	Toronto FC	United States	1
2010	Ansu Toure	Vancouver Whitecaps	Liberia	1
2011	Maicon Santos	Toronto FC	Brazil	3
2012	Reggie Lambe	Toronto FC	Bermuda	2
2012	Ryan Johnson	Toronto FC	Jamaica	2
2012	Sébastien Le Toux	Vancouver Whitecaps FC	France	2
2012	Éric Hassli	Vancouver Whitecaps FC	France	2
2013	Camilo	Vancouver Whitecaps FC	Brazil	3
