District	Incumbent	Party	First elected	Result	Candidates
Florida2	Pete Peterson	Democratic	1990	Re-elected	Pete Peterson (D) 73.4% Ray Wagner (R) 26.5%
Florida3	Charles Edward Bennett	Democratic	1948	Retired Democratic hold	Corrine Brown (D) 59.3% Don Weidner (R) 40.7%
Florida4	Craig T. James	Republican	1988	Retired Republican hold	Tillie K. Fowler (R) 56.7% Mattox Hair (D) 43.2%
Florida6	Cliff Stearns	Republican	1988	Re-elected	Cliff Stearns (R) 65.4% Phil Denton (D) 34.6%
Florida7	None (District created)	None (District created)	None (District created)	New seat Republican gain	John Mica (R) 56.4% Dan Webster (D) 43.5%
Florida8	Bill McCollum Redistricted from the 5th district	Republican	1980	Re-elected	Bill McCollum (R) 68.5% Chuck Kovaleski (D) 31.5%
Florida10	Andy Ireland	Republican	1976	Retired Republican loss	Bill Young (R) 56.6% Karen Moffitt (D) 43.4%
Florida10	Bill Young Redistricted from the 8th district	Republican	1970	Re-elected	Bill Young (R) 56.6% Karen Moffitt (D) 43.4%
Florida12	None (District created)	None (District created)	None (District created)	New seat Republican gain	Charles T. Canady (R) 52.1% Tom Mims (D) 47.9%
Florida13	None (District created)	None (District created)	None (District created)	New seat Republican gain	Dan Miller (R) 57.8% Rand Snell (D) 42.2%
Florida14	Porter J. Goss Redistricted from the 13th district	Republican	1988	Re-elected	Porter J. Goss (R) 82.1% James King (I) 17.9%
Florida15	Jim Bacchus Redistricted from the 11th district	Democratic	1990	Re-elected	Jim Bacchus (D) 50.7% Bill Tolley (R) 49.3%
Florida16	Lawrence J. Smith	Democratic	1982	Retired Democratic loss	Tom Lewis (R) 60.8% John Comerford (D) 39.2%
Florida16	Tom Lewis Redistricted from the 12th district	Republican	1982	Re-elected	Tom Lewis (R) 60.8% John Comerford (D) 39.2%
Florida17	William Lehman	Democratic	1972	Retired Democratic hold	Carrie P. Meek (D) unopposed
Florida19	Dante Fascell	Democratic	1954	Retired Democratic loss	Harry Johnston (D) 63.1% Larry Metz (R) 36.9%
Florida19	Harry Johnston Redistricted from the 14th district	Democratic	1988	Re-elected	Harry Johnston (D) 63.1% Larry Metz (R) 36.9%
