Round	Pick	Player	Position	Nationality	Team	College
3	24	Jim Tucker Category:Articles with hCards	F	United States	Syracuse Nationals	Duquesne
3	26	Don Anielak Category:Articles with hCards	F	United States	New York Knicks	SW State
4	29	Phil Martin Category:Articles with hCards	G	United States	Milwaukee Hawks	Toledo
4	30	Chuck Noble Category:Articles with hCards +	G	United States	Philadelphia Warriors	Louisville
4	34	Art Spoelstra Category:Articles with hCards	C	United States	Rochester Royals	Western Kentucky
5	43	Bo Erias Category:Articles with hCards	F	United States	Rochester Royals	Niagara
6	47	Bob Carney Category:Articles with hCards	G	United States	Milwaukee Hawks	Bradley
8	67	Don Bielke Category:Articles with hCards	C	United States	Fort Wayne Pistons	Valparaiso
9	80	Dick Garmaker Category:Articles with hCards *	G/F	United States	Minneapolis Lakers	Minnesota
11	95	Jim Paxson Category:Articles with hCards	G/F	United States	Rochester Royals	Dayton
