Pick	Player	Pos.	Nationality	Team	Previous team	NBA years [a ]	Career with the franchise [b ]
1	B. J. Armstrong Category:Articles with hCards +	G	United States	Toronto Raptors	Chicago Bulls	6	— [c ]
2	Greg Anthony Category:Articles with hCards	G	United States	Vancouver Grizzlies	New York Knicks	4	1995 – 1997
3	Tony Massenburg Category:Articles with hCards	F	United States	Toronto Raptors	Los Angeles Clippers	3	1995–1996
4	Rodney Dent Category:Articles with hCards # [A ]	F	United States	Vancouver Grizzlies	Orlando Magic	0 [d ]	— [c ]
5	Andrés Guibert Category:Articles with hCards	F/C	Cuba [e ]	Toronto Raptors	Minnesota Timberwolves	2	— [c ]
6	Antonio Harvey Category:Articles with hCards	F/C	United States	Vancouver Grizzlies	Los Angeles Lakers	2	1995
7	Keith Jennings Category:Articles with hCards	G	United States	Toronto Raptors	Golden State Warriors	3	— [c ]
8	Reggie Slater Category:Articles with hCards	F	United States	Vancouver Grizzlies	Denver Nuggets	1	— [c ]
9	Dontonio Wingfield Category:Articles with hCards	F	United States	Toronto Raptors	Seattle SuperSonics	1	— [c ]
10	Trevor Ruffin Category:Articles with hCards	G	United States	Vancouver Grizzlies	Phoenix Suns	1	— [c ]
11	Doug Smith Category:Articles with hCards	F	United States	Toronto Raptors	Dallas Mavericks	4	— [c ]
12	Derrick Phelps Category:Articles with hCards	G	United States	Vancouver Grizzlies	Sacramento Kings	1	— [c ]
13	Jerome Kersey Category:Articles with hCards	F	United States	Toronto Raptors	Portland Trail Blazers	11	— [c ]
14	Larry Stewart Category:Articles with hCards	F	United States	Vancouver Grizzlies	Washington Bullets	4	— [c ]
15	Žan Tabak Category:Articles with hCards	C	Croatia [f ]	Toronto Raptors	Houston Rockets	1	1995 – 1998
16	Kenny Gattison Category:Articles with hCards	F/C	United States	Vancouver Grizzlies	Charlotte Hornets	8	1995–1996
17	Willie Anderson Category:Articles with hCards	G/F	United States	Toronto Raptors	San Antonio Spurs	7	1995–1996
18	Byron Scott Category:Articles with hCards	G	United States	Vancouver Grizzlies	Indiana Pacers	12	1995–1996
19	Ed Pinckney Category:Articles with hCards	F	United States	Toronto Raptors	Milwaukee Bucks	10	1995–1996
20	Gerald Wilkins Category:Articles with hCards	G/F	United States	Vancouver Grizzlies	Cleveland Cavaliers	9	1995–1996
21	Acie Earl Category:Articles with hCards	F/C	United States	Toronto Raptors	Boston Celtics	2	1995 – 1997
22	Benoit Benjamin Category:Articles with hCards	C	United States	Vancouver Grizzlies	New Jersey Nets	10	1995
23	B. J. Tyler Category:Articles with hCards	G	United States	Toronto Raptors	Philadelphia 76ers	1	— [c ]
24	Doug Edwards Category:Articles with hCards	F	United States	Vancouver Grizzlies	Atlanta Hawks	2	1995–1996
25	John Salley Category:Articles with hCards	F/C	United States	Toronto Raptors	Miami Heat	9	1995–1996
26	Blue Edwards Category:Articles with hCards	G/F	United States	Vancouver Grizzlies	Utah Jazz	6	1995 – 1998
27	Oliver Miller Category:Articles with hCards	C	United States	Toronto Raptors	Detroit Pistons	3	1995–1996 ; 1997 – 1998
