Game	Date	Opponent	Score	Record
38	1/1/1974	at New York Knicks	89 - 99	19 - 19
39	1/2/1974	Phoenix Suns	113 - 116	19 - 20
40	1/5/1974	Cleveland Cavaliers	99 - 86	20 - 20
41	1/6/1974	at Buffalo Braves	109 - 117	20 - 21
42	1/8/1974	at Buffalo Braves	96 - 100	20 - 22
43	1/10/1974	Chicago Bulls	104 - 116	20 - 23
44	1/11/1974	at Philadelphia 76ers	100 - 121	20 - 24
45	1/13/1974	Boston Celtics	105 - 128	20 - 25
46	1/17/1974	Portland Trail Blazers	126 - 99	21 - 25
47	1/18/1974	at Boston Celtics	94 - 98	21 - 26
48	1/19/1974	Seattle SuperSonics	127 - 109	22 - 26
49	1/22/1974	at Chicago Bulls	89 - 102	22 - 27
50	1/23/1974	Houston Rockets	104 - 115	22 - 28
51	1/26/1974	Buffalo Braves	132 - 122	23 - 28
52	1/27/1974	New York Knicks	89 - 111	23 - 29
53	1/29/1974	at Cleveland Cavaliers	111 - 118	23 - 30
54	1/30/1974	Golden State Warriors	122 - 129	23 - 31
