Rank	Heat	Lane	Name	Nationality	Time
1	4	3	Alessio Boggiatto	Italy	4:14.26
2	6	4	Tom Dolan	United States	4:15.52
3	4	4	Curtis Myden	Canada	4:16.35
4	4	6	Cezar Bădiță	Romania	4:17.11
5	5	4	Erik Vendt	United States	4:17.15
6	5	5	Justin Norris	Australia	4:17.36
6	5	2	Shinya Taniguchi	Japan	4:17.36
8	5	6	Terence Parkin	South Africa	4:18.14
9	5	7	Jirka Letzin	Germany	4:18.63
10	6	6	István Batházi	Hungary	4:18.85
11	5	3	Michael Halika	Israel	4:19.97
12	4	5	Matthew Dunn	Australia	4:20.31
13	6	5	Susumu Tabuchi	Japan	4:20.76
14	4	7	Johann Le Bihan	France	4:20.96
15	6	3	Frederik Hviid	Spain	4:21.63
16	4	1	Dean Kent	New Zealand	4:21.81
17	3	2	Alexey Kovrigin	Russia	4:22.21
18	3	6	Yves Platel	Switzerland	4:22.38
19	6	1	Massimiliano Eroli	Italy	4:22.85
20	5	1	Ioannis Kokkodis	Greece	4:23.19
21	6	7	Xie Xufeng	China	4:23.33
22	3	4	Serghei Mariniuc	Moldova	4:23.57
23	3	5	Jan Vítazka	Czech Republic	4:23.81
24	4	2	Simon Militis	Great Britain	4:24.38
25	5	8	Jin Hao	China	4:24.56
26	4	8	Michael Windisch	Austria	4:24.62
27	2	2	Jani Sievinen	Finland	4:25.16
28	3	7	Dmytro Nazarenko	Ukraine	4:25.26
29	6	2	Owen von Richter	Canada	4:25.70
30	3	1	Marko Milenkovič	Slovenia	4:26.62
31	2	4	Jeremy Knowles	Bahamas	4:26.87
32	6	8	Torwai Sethsothorn	Thailand	4:28.42
33	3	3	Kim Bang-Hyun	South Korea	4:28.56
34	1	3	Alex Fong	Hong Kong	4:29.02
35	3	8	Alejandro Bermúdez	Colombia	4:29.42
36	2	3	George Bovell	Trinidad and Tobago	4:29.52
37	2	7	Juan Carlos Piccio	Philippines	4:30.17
38	2	5	Juan Veloz	Mexico	4:31.73
39	2	8	Grigoriy Matuzkov	Kazakhstan	4:31.89
40	1	4	Georgi Palazov	Bulgaria	4:35.92
41	2	1	Wan Azlan Abdullah	Malaysia	4:36.90
42	2	6	Sandro Tomaš	Croatia	4:38.31
43	1	5	Oussama Mellouli	Tunisia	4:41.97
44	1	6	Hsu Kuo-Tung	Chinese Taipei	4:42.78
45	1	2	John Tabone	Malta	4:53.12
