Game	Date	Opponent	Result	Hornets score	Opponent score	Record
1	October 30	Utah	Win	100	75	1-0
2	November 1	@ Chicago	Loss	79	84	1-1
3	November 2	Miami	Win	100	95	2-1
4	November 6	Seattle	Win	86	84	3-1
5	November 8	Golden State	Win	110	104	4-1
6	November 10	@ New York	Win	97	91	5-1
7	November 12	@ Detroit	Loss	87	93	5-2
8	November 13	Minnesota	Win	102	98	6-2
9	November 15	Chicago	Win	105	87	7-2
10	November 16	@ Atlanta	Loss	82	89	7-3
11	November 19	Philadelphia	Win	99	98	8-3
12	November 22	New York	Win	105	97	9-3
13	November 23	@ Cleveland	Win	97	84	10-3
14	November 25	@ Philadelphia	Loss	87	108	10-4
15	November 27	Atlanta	Win	106	94	11-4
16	November 30	@ New York	Loss	86	92	11-5
17	December 1	@ Boston	Loss	86	95	11-6
18	December 3	@ Chicago	Win	115	90	12-6
19	December 4	Toronto	Win	89	74	13-6
20	December 6	Houston	Win	98	96	14-6
21	December 7	@ Milwaukee	Win	94	88	15-6
22	December 9	LA Clippers	Loss	90	94	15-7
23	December 12	@ Utah	Win	93	88	16-7
24	December 13	@ LA Lakers	Win	98	82	17-7
25	December 15	@ Sacramento	Loss	92	107	17-8
26	December 17	@ Portland	Loss	93	102	17-9
27	December 18	@ Golden State	Loss	106	111	17-10
28	December 20	@ Seattle	Win	88	86	18-10
29	December 23	@ San Antonio	Loss	94	99	18-11
30	December 26	Dallas	Loss	81	83	18-12
31	December 28	@ Indiana	Loss	84	91	18-13
32	December 29	@ Houston	Loss	85	97	18-14
33	December 31	Indiana	Loss	86	89	18-15
34	January 3	Orlando	Win	100	89	19-15
35	January 5	@ Toronto	Win	99	84	20-15
36	January 6	@ Memphis	Loss	102	106	20-16
37	January 8	Boston	Loss	83	93	20-17
38	January 10	Detroit	Loss	99	101	20-18
39	January 11	@ Atlanta	Loss	80	87	20-19
40	January 15	LA Lakers	Loss	82	90	20-20
41	January 17	Chicago	Win	90	83	21-20
42	January 20	Phoenix	Win	114	103	22-20
43	January 22	Washington	Win	103	94	23-20
44	January 24	Portland	Loss	96	97	23-21
45	January 27	Milwaukee	Loss	93	108	23-22
46	January 29	Toronto	Win	104	83	24-22
47	January 31	@ New Jersey	Loss	72	89	24-23
48	February 1	@ Washington	Loss	104	109	24-24
49	February 3	Boston	Win	103	96	25-24
50	February 5	Sacramento	Win	108	84	26-24
51	February 11	@ Miami	Win	78	69	27-24
52	February 12	Indiana	Loss	72	83	27-25
53	February 14	@ Minnesota	Loss	93	114	27-26
54	February 16	Denver	Win	100	92	28-26
55	February 18	@ Orlando	Loss	94	99	28-27
56	February 19	Washington	Win	87	75	29-27
57	February 21	Memphis	Win	125	123	30-27
58	February 22	@ Detroit	Win	93	91	31-27
59	February 26	Miami	Win	91	82	32-27
60	February 28	@ Denver	Win	94	88	33-27
61	March 1	@ Phoenix	Win	97	92	34-27
62	March 3	@ LA Clippers	Win	111	108	35-27
63	March 7	Cleveland	Win	102	76	36-27
64	March 9	New Jersey	Loss	92	102	36-28
65	March 11	@ Indiana	Win	81	71	37-28
66	March 12	@ Boston	Loss	65	93	37-29
67	March 14	@ Miami	Win	87	83	38-29
68	March 15	@ Orlando	Loss	86	96	38-30
69	March 19	New York	Win	101	96	39-30
70	March 21	Milwaukee	Win	113	98	40-30
71	March 22	@ Milwaukee	Loss	85	93	40-31
72	March 26	Orlando	Loss	95	97	40-32
73	March 28	@ Toronto	Win	101	92	41-32
74	March 30	San Antonio	Loss	90	92	41-33
75	April 1	@ Dallas	Loss	86	95	41-34
76	April 2	New Jersey	Win	106	97	42-34
77	April 5	@ Cleveland	Loss	76	79	42-35
78	April 9	Cleveland	Win	100	81	43-35
79	April 11	Detroit	Win	93	89	44-35
80	April 13	@ Philadelphia	Win	94	89	45-35
81	April 14	@ New Jersey	Win	87	74	46-35
82	April 16	Atlanta	Win	92	77	47-35
1	April 20	@ Philadelphia	Loss	90	98	0-1
2	April 23	@ Philadelphia	Loss	85	90	0-2
3	April 26	Philadelphia	Win	99	85	1-2
4	April 28	Philadelphia	Loss	87	96	1-3
5	April 30	@ Philadelphia	Win	93	91	2-3
6	May 2	Philadelphia	Loss	103	107	2-4
