Song title	Artist	Year	Genre	Single / Pack name	Release date	Family Friendly	Additional Rock Band 3 Features
" Fortunate Son "	Creedence Clearwater Revival	1969	Southern Rock	Single	Nov.20,2007	Yes	None
" Juke Box Hero "	Foreigner	1981	Classic Rock	Single	Nov.20,2007	Yes	None
" Bang a Gong "	T. Rex	1971	Glam	Single	Nov.20,2007	No	None
" My Sharona "	The Knack	1979	Pop-Rock	Single	Nov.20,2007	No	Pro Guitar/Bass
" Cherry Bomb "	The Runaways	1976	Punk	Single	Nov.20,2007	No	None
" Joker & the Thief "	Wolfmother	2005	Rock	Single	Nov.20,2007	Yes	None
" Ride the Lightning "	Metallica	1984	Metal	Metallica 01	Nov.20,2007	No	None
" Blackened "	Metallica	1988	Metal	Metallica 01	Nov.20,2007	No	None
" ...And Justice for All "	Metallica	1988	Metal	Metallica 01	Nov.20,2007	No	Pro Guitar/Bass
" 3's & 7's "	Queens of the Stone Age	2007	Alternative	Queens of the Stone Age 01	Nov.20,2007	No	None
" Little Sister "	Queens of the Stone Age	2005	Alternative	Queens of the Stone Age 01	Nov.20,2007	No	None
" Sick, Sick, Sick "	Queens of the Stone Age	2007	Alternative	Queens of the Stone Age 01	Nov.20,2007	No	None
" Can't Stand Losing You "	The Police	1978	Pop-Rock	The Police 01	Nov.20,2007	No	None
" Synchronicity II "	The Police	1983	Pop-Rock	The Police 01	Nov.20,2007	No	None
" Roxanne "	The Police	1978	Pop-Rock	The Police 01	Nov.20,2007	No	None
" Heroes "	David Bowie	1977	Glam	David Bowie 01	Nov.27,2007	Yes	None
" Moonage Daydream "	David Bowie	1972	Glam	David Bowie 01	Nov.27,2007	No	None
" Queen Bitch "	David Bowie	1971	Glam	David Bowie 01	Nov.27,2007	No	None
" N.I.B. "	Black Sabbath	1970	Metal	Black Sabbath 01	Dec.4,2007	No	None
" Sweet Leaf "	Black Sabbath	1971	Metal	Black Sabbath 01	Dec.4,2007	No	None
" War Pigs "	Black Sabbath	1970	Metal	Black Sabbath 01	Dec.4,2007	No	None
" Ever Fallen in Love "	Buzzcocks	1978	Punk	Punk 01	Dec.11,2007	Yes	None
" I Fought the Law "	The Clash	1977	Punk	Punk 01	Dec.11,2007	Yes	None
" Rockaway Beach "	Ramones	1977	Punk	Punk 01	Dec.11,2007	Yes	None
" My Iron Lung "	Radiohead	1994	Alternative	Single	Dec.18,2007	No	None
" Brass in Pocket "	The Pretenders	1980	Pop-Rock	Single	Dec.18,2007	Yes	None
" Buddy Holly "	Weezer	1994	Alternative	Single	Dec.18,2007	Yes	None
" Attack "	30 Seconds to Mars	2005	Emo	Single	Dec.25,2007	No	None
" The Kill "	30 Seconds to Mars	2005	Emo	Single	Dec.25,2007	Yes	None
" Dirty Little Secret "	All-American Rejects	2005	Emo	Single	Dec.25,2007	Yes	None
" Move Along "	All-American Rejects	2005	Emo	Single	Dec.25,2007	Yes	None
