Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	27-10-7	Ryuki Ueyama	TKO (punches)	Rings - Reincarnation	1	2:32	Tokyo , Japan
Win	26-10-7	Daisuke Hanazawa	TKO (punches)	Pancrase - Impressive Tour 9	2	4:03	Tokyo , Japan
Win	25-10-7	Katsuya Inoue	Submission (armbar)	Pancrase - Impressive Tour 9	1	1:44	Tokyo , Japan
Win	24-10-7	Ryo Asami	TKO (doctor stoppage)	Rings - The Outsider 17	1	1:00	Tokyo , Japan
Win	23-10-7	Keigo Hirayama	Submission (guillotine choke)	ZST.27	1	1:44	Tokyo , Japan
Win	22-10-7	Eriya Matsuda	Submission (heel hook)	ZST.25	1	1:04	Tokyo , Japan
Loss	21-10-7	Jorge Masvidal	Decision (split)	Astra	3	5:00	Tokyo , Japan
Draw	21-9-7	Kenichi Ito	Draw	ZST.23	2	5:00	Tokyo , Japan
Win	21-9-6	Daisuke Nakamura	Submission (leg scissor choke)	ZST.22	1	1:37	Tokyo , Japan
Win	20-9-6	Yojiro Uchimura	Submission (achilles lock)	ZST.21	1	1:25	Tokyo , Japan
Loss	19-9-6	Kuniyoshi Hironaka	Submission (reverse full-nelson)	ZST.20	2	2:43	Tokyo , Japan
Win	19-8-6	Katsuhiko Nagata	Submission (heel hook)	ZST.18: Sixth Anniversary	2	4:38	Tokyo , Japan
Loss	18-8-6	Koji Oishi	Decision (unanimous)	Pancrase: Shining 8	3	5:00	Tokyo , Japan
Draw	18-7-6	Masanori Kanehara	Draw	ZST.15: Fifth Anniversary	2	5:00	Tokyo , Japan
Loss	18-7-5	Dennis Siver	KO (punch)	UFC 75	2	2:04	London , England
Loss	18-6-5	Thiago Tavares	Decision (unanimous)	UFC Fight Night: Stevenson vs Guillard	3	5:00	Las Vegas, Nevada , United States
Win	18-5-5	Masayuki Okude	Submission (armbar)	ZST.12	1	0:58	Tokyo , Japan
Draw	17-5-5	Erikas Petraitis	Draw	ZST.11	2	5:00	Tokyo , Japan
Win	17-5-4	Shinya Sato	Submission (armbar)	ZST: GT-F2	1	2:09	Tokyo , Japan
Draw	16-5-4	Darius Skliaudys	Draw	ZST.9	2	5:00	Tokyo , Japan
Win	16-5-3	Vito Woods	Submission (armbar)	Xtreme Fighting Organization 8	1	1:23	Illinois , United States
Loss	15-5-3	Luiz Azeredo	KO (punch)	PRIDE Bushido 9	1	0:11	Tokyo , Japan
Draw	15-4-3	Darius Skliaudys	Draw	ZST Grand Prix 2: Final Round	3	3:00	Tokyo , Japan
Loss	15-4-2	Roger Huerta	TKO (punches)	Xtreme Fighting Organization 4	1	1:29	Illinois , United States
Loss	15-3-2	Yves Edwards	TKO (head kick & punches)	Euphoria: Road to the Titles	1	3:10	New Jersey , United States
Win	15-2-2	Hideo Tokoro	Submission (heel hook)	ZST.6	1	1:44	Tokyo , Japan
Win	14-2-2	Remigijus Morkevicius	Submission (armbar)	ZST: Battle Hazard 1	1	2:07	Tokyo , Japan
Loss	13-2-2	Marcus Aurélio	TKO (cut)	ZST.5	2	3:34	Tokyo , Japan
Loss	13-1-2	Rich Clementi	Decision (unanimous)	ZST Grand Prix: Final Round	2	5:00	Tokyo , Japan
Win	13-0-2	Hirou Tomiyama	Submission (banana split)	ZST	1	0:53	Tokyo , Japan
Win	12-0-2	Mindaugas Smirnovas	Submission (armbar)	ZST Grand Prix: Opening Round	1	0:41	Tokyo , Japan
Win	11-0-2	Mindaugas Smirnovas	Technical Submission (heel hook)	ZST 4: The Battle Field 4	1	1:36	Tokyo , Japan
Draw	10-0-2	Mindaugas Smirnovas	Draw	Rings Lithuania - Bushido Rings 7: Adrenalinas	3	3:00	Lithuania
Win	10-0-1	Antoine Skinner	Submission (toe hold)	ZST 2: The Battle Field 2	1	1:35	Tokyo , Japan
Win	9-0-1	Mindaugas Laurinaitis	Technical submission (triangle choke)	ZST 1: The Battle Field 1	1	2:16	Tokyo , Japan
Win	8-0-1	Kenichi Serizawa	TKO (punches)	GCM: Demolition 1	1	0:20	Japan
Win	7-0-1	Masaya Takita	Submission (triangle armbar)	GCM: ORG 3rd	1	2:32	Tokyo , Japan
Win	6-0-1	Yoshinobu Ota	Technical Submission (rear naked choke)	Rings: World Title Series Grand Final	1	1:41	Yokohama , Japan
Win	5-0-1	Takahito Iida	Submission (armbar)	Rings: World Title Series 5	1	3:02	Yokohama , Japan
Win	4-0-1	Hideo Tokoro	Decision (majority)	Rings: Battle Genesis Vol. 8	3	5:00	Tokyo , Japan
Draw	3-0-1	Jiro Wakabayashi	Draw	Rings: World Title Series 1	3	5:00	Tokyo , Japan
Win	3-0	Curtis Brigham	Submission (kimura)	Rings USA: Battle of Champions	2	1:59	Iowa , United States
Win	2-0	Tashiro Nishiuchi	Submission (armbar)	Rings: Battle Genesis Vol. 6	1	0:32	Tokyo , Japan
Win	1-0	Kiyohito Sugata	TKO (cut)	Rings: Battle Genesis Vol. 6	1	0:42	Tokyo , Japan
