Year	Network	Play-by-play	Colour commentator(s)	Sideline reporters	Pregame host	Pregame analysts
2009	TSN	Chris Cuthbert	Glen Suitor	Sara Orlesky and Farhan Lalji	Dave Randorf and Brian Williams	Jock Climie , Matt Dunigan and Chris Schultz
2008	TSN	Chris Cuthbert	Glen Suitor	Sara Orlesky and Farhan Lalji	Dave Randorf and Brian Williams	Jock Climie , Matt Dunigan and Chris Schultz
2007	CBC	Mark Lee	Chris Walby	Khari Jones , Steve Armitage and Brenda Irving	Elliotte Friedman	Daved Benefield , Khari Jones and Greg Frers
2006	CBC	Mark Lee	Chris Walby	Darren Flutie , Steve Armitage and Brenda Irving	Elliotte Friedman	Sean Millington , Khari Jones and Greg Frers
2005	CBC	Mark Lee	Chris Walby	Steve Armitage and Elliotte Friedman	Brian Williams	Darren Flutie , Eric Tillman and Greg Frers
2004	CBC	Chris Cuthbert	Chris Walby	Steve Armitage and Mark Lee	Brian Williams	Darren Flutie , Sean Millington and Greg Frers
2003	CBC	Chris Cuthbert	Chris Walby	Steve Armitage and Brenda Irving	Brian Williams and Mark Lee	Darren Flutie , Sean Millington and Greg Frers
2002	CBC	Chris Cuthbert	Chris Walby	Steve Armitage and Brenda Irving	Brian Williams and Mark Lee	Eric Tillman , Danny McManus and Glen Suitor
2001	CBC	Chris Cuthbert	Chris Walby	Steve Armitage and Brenda Irving	Brian Williams	Mark Lee and Glen Suitor
2000	CBC	Chris Cuthbert	Chris Walby	Steve Armitage and Brenda Irving	Brian Williams	Mark Lee , Glen Suitor and Mike Clemons
