Stage	Winner	General classification	Points classification	Mountains classification	Trofeo Fast Team
1	Mario Cipollini	Mario Cipollini	Mario Cipollini	Giuseppe Guerini	Mercatone Uno-Saeco
2	Tony Rominger	Tony Rominger	Rolf Sørensen	Giuseppe Guerini	Lampre-Panaria
3	Mario Cipollini	Tony Rominger	Mario Cipollini	Mariano Piccoli	Lampre-Panaria
4	Tony Rominger	Tony Rominger	Mario Cipollini	Mariano Piccoli	Lampre-Panaria
5	Filippo Casagrande	Tony Rominger	Mario Cipollini	Mariano Piccoli	Brescialat
6	Nicola Minali	Tony Rominger	Mario Cipollini	Mariano Piccoli	Brescialat
7	Maurizio Fondriest	Tony Rominger	Mario Cipollini	Mariano Piccoli	Brescialat
8	Laudelino Cubino	Tony Rominger	Mario Cipollini	Mariano Piccoli	MG Maglificio-Technogym
9	Rolf Sørensen	Tony Rominger	Mario Cipollini	Mariano Piccoli	MG Maglificio-Technogym
10	Tony Rominger	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
11	Enrico Zaina	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
12	Pascal Richard	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
13	Oliverio Rincón	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
14	Claudio Chiappucci	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
15	Mariano Piccoli	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
16	Giuseppe Citterio	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
17	Tony Rominger	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
18	Denis Zanette	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
19	Pascal Richard	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
20	Serguei Outschakov	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
21	Evgeni Berzin	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
22	Giovanni Lombardi	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
Final	Final	Tony Rominger	Tony Rominger	Mariano Piccoli	Gewiss-Ballan
