Bowling figures Wickets-Runs (Overs)	Bowler	Versus	Venue	Date
7-15 (7)	GD McGrath	Namibia	Potchefstroom	27-02-2003
7-20 (10)	AJ Bichel	England	Port Elizabeth	02-03-2003
6-23 (10)	A Nehra	England	Durban	26-02-2003
6-23 (10)	SE Bond	Australia	Port Elizabeth	11-03-2003
6-25 (9.1)	WPUJC Vaas	Bangladesh	Pietermaritzburg	14-02-2003
5-24 (10)	CO Obuya	Sri Lanka	Nairobi (Gymkhana)	24-02-2003
5-27 (9)	A Codrington	Bangladesh	Durban	11-02-2003
5-28 (9)	Wasim Akram	Namibia	Kimberley	16-02-2003
5-33 (10)	VC Drakes	Kenya	Kimberley	04-03-2003
5-42 (9.1)	B Lee	New Zealand	Port Elizabeth	11-03-2003
Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com
