No. in series	No. in season	Title	Directed by	Written by	Original air date	Ratings
377	1	"Family Matters"	Kevin Carlin	Louise Crane-Bowes	13February2007	1.081
378	2	"The Hardest Word"	Lynn Hegarty	Sean Nash	20February2007	1.389
379	3	"Thresholds"	Lynn-Maree Danzey	Kevin Roberts	27February2007	1.381
380	4	"Smoke and Mirrors"	Martin Sacks	Andrew Kelly	6March2007	1.247
381	5	"The Hearts of Men"	Peter Fisk	Peter Neale & Blake Ayshford	13March2007	N/A
382	6	"A Fresh Start"	Bill Hughes	Fiona Kelly	20March2007	N/A
383	7	"Back on Track"	Pino Amenta	Charlie Strachan	27March2007	N/A
384	8	"What Lies Beneath"	Lynn Hegarty	Jeff Truman	3April2007	N/A
385	9	"The Blink of an Eye"	Daina Reid	Peter Gawler	10April2007	N/A
386	10	"Life's Little Miracles"	Nicholas Buffalo	John Banas	17April2007	N/A
387	11	"Life Interrupted"	Jean Pierre Mignon	Sam Meikle	24April2007	N/A
388	12	"Choices of the Heart"	Peter Fisk	Sean Nash	8May2007	N/A
389	13	"Balancing Act"	Bill Hughes	Sally Webb	15May2007	N/A
390	14	"Timing"	Peter Phelps	Trent Atkinson	22May2007	N/A
391	15	"Some Kinds of Love"	Lynn-Maree Danzey	Andrew Kelly	29May2007	N/A
392	16	"End Game"	Nicholas Bufalo	Chris McCourt	5June2007	N/A
393	17	"The Trust Game"	Peter Fisk	Michael Miller	12June2007	N/A
394	18	"Precious Moments"	Tony Krawitz	Fiona Kelly	19June2007	N/A
395	19	"The Pain of It All"	Peter Phelps	Kevin Roberts	26June2007	N/A
396	20	"Crossroads"	Jean-Pierre Mignon	Charlie Strachan	3July2007	N/A
397	21	"Bodies in Motion"	Lynn-Maree Danzey	Sam Meikle	10July2007	N/A
398	22	"One Moment in Time"	Peter Fisk	Sean Nash	17July2007	N/A
399	23	"Bad Blood"	Tony Krawitz	Sally Webb & Lily Taylor	24July2007	N/A
400	24	"Push Me, Pull Me"	Peter Phelps	Sally Webb & Lily Taylor	31July2007	N/A
401	25	"Pressure Point"	Martin Sacks	Jeff Truman	24July2007	N/A
402	26	"Under The Skin"	Daina Reid	Sarah Lambert	7August2007	N/A
403	27	"Mixed Blessings"	Peter Fisk	Julie Edwards	14August2007	N/A
404	28	"Nowhere to Hide"	Lynn Hegarty	Kevin Roberts	21August2007	N/A
405	29	"Persona Non Grata"	Daniel Nettheim	Michael Miller	28August2007	N/A
406	30	"Running on Impulse"	Jean-Pierre Mignon	Sam Meikle	4September2007	N/A
407	31	"Reality Check"	Nicholas Bufalo	Charlie Strachan & Sacha Hamilton	11September2007	N/A
408	32	"If Only"	Lynn-Maree Danzey	Sean Nash	18September2007	N/A
409	33	"Lost and Found"	Pino Amenta	Peter Dick & Megan Herbert	25September2007	N/A
410	34	"No Stranger"	Jean-Pierre Mignon	Sally Webb	2October2007	N/A
411	35	"Throw Your Arms Around Me"	Peter Fisk	Jeff Truman	9October2007	N/A
412	36	"Open Hearts"	Lynn Hegarty	Chris McCourt	16October2007	N/A
413	37	"True Confessions"	Aarne Neeme	Trent Atkinson	23October2007	N/A
414	38	"Precious Time"	Jean-Pierre Mignon	Shelley Birse	30October2007	N/A
415	39	"Cutting Free"	Nicholas Bufalo	Michael Miller	6November2007	N/A
416	40	"Thin Ice"	Marcus Cole	Sam Meikle & Louise Crane-Bowes	13November2007	N/A
417	41	"Against the Wall (Part 1)"	Tony Krawitz	Charlie Strachan	20November2007	N/A
