Place	Player	Country	Score	To par	Money ( $ )
T1	Tiger Woods	United States	72-68-70-73=283	–1	Playoff
T1	Rocco Mediate	United States	69-71-72-71=283	–1	Playoff
3	Lee Westwood	England	70-71-70-73=284	E	491,995
T4	Robert Karlsson	Sweden	70-70-75-71=286	+2	307,303
T4	D. J. Trahan	United States	72-69-73-72=286	+2	307,303
T6	Carl Pettersson	Sweden	71-71-77-68=287	+3	220,686
T6	John Merrick	United States	73-72-71-71=287	+3	220,686
T6	Miguel Ángel Jiménez	Spain	75-66-74-72=287	+3	220,686
T9	Heath Slocum	United States	75-74-74-65=288	+4	160,769
T9	Eric Axley	United States	69-79-71-69=288	+4	160,769
T9	Brandt Snedeker	United States	76-73-68-71=288	+4	160,769
T9	Camilo Villegas	Colombia	73-71-71-73=288	+4	160,769
T9	Geoff Ogilvy	Australia	69-73-72-74=288	+4	160,769
