Rider	Bike	Laps	Time	Grid
Troy Bayliss	Ducati 1098 F08	20	40:22.724	1
Troy Corser	Yamaha YZF-R1	20	+1.468	2
Michel Fabrizio	Ducati 1098 F08	20	+3.272	3
Max Biaggi	Ducati 1098 RS 08	20	+3.475	4
Ryuichi Kiyonari	Honda CBR1000RR	20	+3.791	5
Noriyuki Haga	Yamaha YZF-R1	20	+9.120	12
Max Neukirchner	Suzuki GSX-R1000	20	+9.358	9
Carlos Checa	Honda CBR1000RR	20	+11.787	13
Yukio Kagayama	Suzuki GSX-R1000	20	+17.228	10
Kenan Sofuoğlu	Honda CBR1000RR	20	+17.705	26
Karl Muggeridge	Honda CBR1000RR	20	+22.347	15
Shinichi Nakatomi	Yamaha YZF-R1	20	+25.563	18
Niccolò Canepa	Ducati 1098 F08	20	+25.699	6
Fonsi Nieto	Suzuki GSX-R1000	20	+34.064	7
Gregorio Lavilla	Honda CBR1000RR	20	+36.545	19
Makoto Tamada	Kawasaki ZX-10R	20	+43.934	22
Ayrton Badovini	Kawasaki ZX-10R	20	+44.339	16
Shuhei Aoyama	Honda CBR1000RR	20	+50.092	23
Jason Pridmore	Honda CBR1000RR	20	+58.827	29
Jiri Drazdak	Honda CBR1000RR	20	+59.928	27
Christian Zaiser	Yamaha YZF-R1	20	+1:21.587	28
Sébastien Gimbert	Yamaha YZF-R1	18	Accident	24
Vittorio Iannuzzo	Kawasaki ZX-10R	9	Retirement	25
Roberto Rolfo	Honda CBR1000RR	8	Retirement	20
Ruben Xaus	Ducati 1098 RS 08	8	Retirement	11
Milos Cihak	Suzuki GSX-R1000	5	Accident	30
David Checa	Yamaha YZF-R1	3	Accident	17
Lorenzo Lanzi	Ducati 1098 RS 08	3	Accident	14
Régis Laconi	Kawasaki ZX-10R	3	Accident	21
Jakub Smrz	Ducati 1098 RS 08	3	Accident	8
