#	Spacecraft	Spacewalkers	Start ( UTC )	End (UTC)	Duration
261.	Expedition 14 EVA 2	Michael Lopez-Alegria Sunita Williams	January 31, 2007 15:14	January 31, 2007 23:09	7 h, 55 min
262.	Expedition 14 EVA 3	Michael Lopez-Alegria Sunita Williams	February 4, 2007 13:38	February 4, 2007 20:49	7 h, 11 min
263.	Expedition 14 EVA 4	Michael Lopez-Alegria Sunita Williams	February 8, 2007 13:26	February 8, 2007 20:06	6 h, 40 min
264.	Expedition 14 EVA 5	Michael Lopez-Alegria Mikhail Tyurin	February 22, 2007 10:28	February 22, 2007 16:45	6 h, 18 min
265.	Expedition 15 EVA 1	Oleg Kotov Fyodor Yurchikhin	May 30, 2007 19:05	May 31, 2007 00:30	5 h, 25 min
266.	Expedition 15 EVA 2	Oleg Kotov Fyodor Yurchikhin	June 6, 2007 14:23	June 6, 2007 20:00	5 h, 37 min
267.	STS-117 EVA 1	James F. Reilly John D. Olivas	June 11, 2007 20:02	June 12, 2007 02:17	6 h, 15 min
268.	STS-117 EVA 2	Patrick G. Forrester Steven Swanson	June 13, 2007 18:28	June 14, 2007 01:44	7 h, 16 min
269.	STS-117 EVA 3	James F. Reilly John D. Olivas	June 15, 2007 17:24	June 16, 2007 01:22	7 h, 58 min
270.	STS-117 EVA 4	Patrick G. Forrester Steven Swanson	June 17, 2007 16:25	June 17, 2007 22:54	6 h, 29 min
271.	Expedition 15 EVA 3	Clayton Anderson Fyodor Yurchikhin	July 23, 2007 10:25	July 23, 2007 18:06	7 h, 41 min
272.	STS-118 EVA 1	Richard Mastracchio Dafydd Williams	August 11, 2007 16:28	August 11, 2007 22:45	6 h, 17 min
273.	STS-118 EVA 2	Richard Mastracchio Dafydd Williams	August 13, 2007 15:32	August 13, 2007 22:00	6 h, 28 min
274.	STS-118 EVA 3	Richard Mastracchio Clayton Anderson	August 15, 2007 14:37	August 15, 2007 20:05	5 h, 28 min
275.	STS-118 EVA 4	Dafydd Williams Clayton Anderson	August 18, 2007 14:17	August 18, 2007 19:02	5 h, 2 min
276.	STS-120 EVA 1	Scott Parazynski Douglas Wheelock	October 26, 2007 10:02	October 26, 2007 16:16	6 h, 14 min
277.	STS-120 EVA 2	Scott Parazynski Daniel M. Tani	October 28, 2007 09:32	October 28, 2007 16:05	6h, 33min
278.	STS-120 EVA 3	Scott Parazynski Douglas Wheelock	October 30, 2007 08:45	October 30, 2007 15:53	7 hours, 08 minutes
279.	STS-120 EVA 4	Scott Parazynski Douglas Wheelock	November 3, 2007 10:03	November 3, 2007 17:22	7 hours, 19 minutes
280.	Expedition 16 EVA 1	Peggy Whitson Yuri Malenchenko	November 9, 2007 09:54	November 9, 2007 16:49	6 hours, 55 minutes
281.	Expedition 16 EVA 2	Peggy Whitson Daniel Tani	November 20, 2007 10:10	November 20, 2007 17:26	7 hours, 16 minutes
282.	Expedition 16 EVA 3	Peggy Whitson Daniel Tani	November 24, 2007 09:50	November 24, 2007 16:54	7 hours, 04 minutes
