City of license	Identifier	Frequency	Power	Class	RECNet
Beaver Creek	CBDM	690 AM	40 s watt	LP	Query
Carmacks	CBQF	990 AM	40 watts	LP	Query
Dawson City	CBDN*	560 AM	400 watts	C	Query
Destruction Bay / Burwash Landing	CBDL-FM	105.1 FM	96 watts	A	Query
Faro	CBQK-FM	105.1 FM	87 watts	A1	Query
Haines Junction	CBDF-FM	103.5 FM	90 watts	A1	Query
Mayo	CBDC	1230 AM 104.9 FM	40 watts	LP	Query
Ross River	CBQJ	990 AM	40 watts	LP	Query
Teslin	CBDK	940 AM	40 watts	LP	Query
Watson Lake	CBDB	990 AM	40 watts	LP	Query
Atlin , British Columbia	CBUA-FM	90.1 FM	14 watts	LP	Query
Whitehorse , Yukon	CFWH-FM-1	95.3 FM	50 watts	LP	Query
