Cycle no.	Air dates	Reward	Immunity	Eliminated	Vote	Finish
01	September 15 to September 19, 2008	Jarakay	Jarakay	Chev	8–1	1st Voted Out Day 3
02	September 22 to September 26, 2008	Jarakay	Jarakay	Emerson	6–1–1	2nd Voted Out Day 6
03	September 29 to October 3 and October 6, 2008	Jarakay	Naak	Gigit	8–1	3rd Voted Out Day 9
03	September 29 to October 3 and October 6, 2008	Jarakay	Naak	Patani	3–2–2–1	4th Voted Out Day 9
04	October 7 to October 10, 2008	Jarakay	Jarakay	Niña	No Vote	Left Due to Injury Day 11
04	October 7 to October 10, 2008	Jarakay	Kiko	Vevherly	5–1	5th Voted Out Day 12
05	October 13 to October 17, 2008	Naak	Naak	John	5–1	6th Voted Out Day 15
06	October 20 to October 24, 2008	Naak	Naak	Nikki	4–1	7th Voted Out Day 18
07	October 27 to October 31, 2008	None	Zita	Jace	6–4	8th Voted Out 1st Jury Member Day 21
08	November 3 to November 7 and November 10, 2008	Survivor Auction	Veronica	Kiko	5–4	9th Voted Out 2nd Jury Member Day 24
09	November 10 to November 14, 2008	JC [Cris, Kaye, Rob]	Charisse	Veronica	5–4	10th Voted Out 3rd Jury Member Day 26
10	November 17 to November 21 and November 24, 2008	Cris	JC [Cris, Marlon]	Marlon	6–1–1	11th Voted Out 4th Jury Member Day 29
11	November 24 to November 26, 2008	Rob	JC	Kaye	4–1	12th Voted Out 5th Jury Member Day 32
13	December 2 to December 5, 2008	Rob [JC]	JC (Rob)	Cris	3–1	14th Voted Out 7th Jury Member Day 37
14	December 5 and December 8 to December 9, 2008	None	Rob	Charisse	1–0	15th Voted Out 8th Jury Member Day 38
Finale	December 10 to December 12, 2008	Jury Vote	Jury Vote	Rob	7–2	Runner-Up
