Rank	Name	Wins	Losses	Pct.
1	Connie Mack Category:Articles with hCards	3,731	3,948	.486
2	John McGraw Category:Articles with hCards	2,763	1,948	.586
3	Tony La Russa Category:Articles with hCards	2,728	2,365	.536
4	Bobby Cox Category:Articles with hCards	2,504	2,001	.556
5	Joe Torre Category:Articles with hCards	2,326	1,997	.538
6	Sparky Anderson Category:Articles with hCards	2,194	1,834	.545
7	Bucky Harris Category:Articles with hCards	2,158	2,219	.493
8	Joe McCarthy Category:Articles with hCards	2,125	1,333	.615
9	Walter Alston Category:Articles with hCards	2,040	1,613	.558
10	Leo Durocher Category:Articles with hCards	2,008	1,709	.540
11	Casey Stengel Category:Articles with hCards	1,905	1,842	.508
12	Gene Mauch Category:Articles with hCards	1,902	2,037	.483
13	Bill McKechnie Category:Articles with hCards	1,896	1,723	.524
14	Lou Piniella Category:Articles with hCards	1,835	1,713	.517
15	Jim Leyland Category:Articles with hCards	1,769	1,728	.506
16	Dusty Baker Category:Articles with hCards	1,671	1,504	.526
17	Ralph Houk Category:Articles with hCards	1,619	1,531	.514
18	Fred Clarke Category:Articles with hCards	1,602	1,181	.576
19	Tommy Lasorda Category:Articles with hCards	1,599	1,439	.526
20	Dick Williams Category:Articles with hCards	1,571	1,451	.520
21	Bruce Bochy Category:Articles with hCards	1,530	1,530	.500
22	Clark Griffith Category:Articles with hCards	1,493	1,376	.520
23	Earl Weaver Category:Articles with hCards	1,480	1,060	.583
24	Miller Huggins Category:Articles with hCards	1,413	1,134	.555
25	Al Lopez Category:Articles with hCards	1,410	1,004	.584
26	Jimmy Dykes Category:Articles with hCards	1,406	1,541	.477
27	Wilbert Robinson Category:Articles with hCards	1,399	1,398	.500
28	Davey Johnson Category:Articles with hCards	1,372	1,071	.562
29	Chuck Tanner Category:Articles with hCards	1,352	1,381	.495
30	Ned Hanlon Category:Articles with hCards	1,313	1,164	.530
31	Cap Anson Category:Articles with hCards	1,295	947	.578
32	Charlie Grimm Category:Articles with hCards	1,287	1,067	.547
33	Frank Selee Category:Articles with hCards	1,284	862	.598
34	Whitey Herzog Category:Articles with hCards	1,281	1,125	.532
35	Billy Martin Category:Articles with hCards	1,253	1,013	.553
36	Bill Rigney Category:Articles with hCards	1,239	1,321	.484
37	Joe Cronin Category:Articles with hCards	1,236	1,055	.540
38	Mike Scioscia Category:Articles with hCards	1,233	1,035	.544
39	Harry Wright Category:Articles with hCards	1,225	885	.581
40	Mike Hargrove Category:Articles with hCards	1,188	1,173	.503
41	Bobby Valentine Category:Articles with hCards	1,186	1,165	.504
42	Hughie Jennings Category:Articles with hCards	1,184	995	.543
43	Buck Showalter Category:Articles with hCards	1,163	1,095	.515
44	Lou Boudreau Category:Articles with hCards	1,162	1,224	.487
45	John McNamara Category:Articles with hCards	1,160	1,233	.485
46	Tom Kelly Category:Articles with hCards	1,140	1,244	.478
47	Frankie Frisch Category:Articles with hCards	1,138	1,078	.514
48	Art Howe Category:Articles with hCards	1,129	1,137	.498
49	Terry Francona Category:Articles with hCards	1,121	985	.532
50	Danny Murtaugh Category:Articles with hCards	1,115	950	.540
51	Frank Robinson Category:Articles with hCards	1,065	1,176	.475
52	Jack McKeon Category:Articles with hCards	1,051	990	.515
53	Billy Southworth Category:Articles with hCards	1,044	704	.597
54	Red Schoendienst Category:Articles with hCards	1,041	955	.522
55	Steve O'Neill Category:Articles with hCards	1,040	821	.559
56	Felipe Alou Category:Articles with hCards	1,033	1,021	.503
57	Jim Fregosi Category:Articles with hCards	1,028	1,095	.484
58	Chuck Dressen Category:Articles with hCards	1,008	973	.509
59	Charlie Manuel Category:Articles with hCards	1,000	826	.548
