Class	Wheel arrangement	Manufacturer	Year made	Quantity made	Quantity preserved	Year(s) withdrawn
Joseph Hamilton Beattie (1850–1871)	Joseph Hamilton Beattie (1850–1871)	Joseph Hamilton Beattie (1850–1871)	Joseph Hamilton Beattie (1850–1871)	Joseph Hamilton Beattie (1850–1871)	Joseph Hamilton Beattie (1850–1871)	Joseph Hamilton Beattie (1850–1871)
Hercules	2-4-0	Nine Elms Works	1851–1854	15	0	1875–1884
Tartar	2-2-2WT	Sharp Brothers	1852	6	0	1871–1874
Sussex	2-2-2WT	Nine Elms Works	1852	8	0	1871–1876
Canute	2-2-2	Nine Elms Works	1855–1859	12	0	1875–1885
Saxon	2-4-0	Nine Elms Works	1855–1857	12	0	1877–1885
Chaplin	2-2-2WT	Nine Elms Works	1856	3	0	1876–1877
Minerva	2-4-0WT	Nine Elms Works	1856	3	0	1874–1883
Nelson	2-4-0WT	Nine Elms Works	1858	3	0	1882–1885
Nile	2-4-0WT	Nine Elms Works	1859	3	0	1882
Tweed	2-4-0	Nine Elms Works	1858–1859	6	0	1877–1879
Undine	2-4-0	Nine Elms Works	1859–60	12	0	1884–1886
Clyde	2-4-0	Nine Elms Works	1859–1868	13	0	1883–1899
Gem	2-4-0	Nine Elms Works	1862–1863	6	0	1884–1885
Eagle	2-4-0	Nine Elms Works	1862	3	0	1885–1886
Falcon	2-4-0	Nine Elms Works	1863–1867	17	0	1882–1898
177	2-4-0WT	Beyer, Peacock & Co. (82) Nine Elms Works (3)	1863–1875	85	2	1886–1899, 1962
Lion	0-6-0	Nine Elms Works	1863–1873	38	0	1886–1900
Volcano	2-4-0	Nine Elms Works	1866–1873	18	0	1886–1897
221	0-6-0	Beyer, Peacock & Co.	1866–1873	24	0	1891–1924
231	2-4-0	Beyer, Peacock & Co.	1866	6	0	1892–1899
Vesuvius	2-4-0	Nine Elms Works	1869–1875	32	0	1893–1899
