Game	January	Opponent	Score	Decision	Record
40	3	@ Washington Capitals	2 - 1	Valiquette	23-14-3
41	5	Pittsburgh Penguins	4 - 0	Lundqvist	24-14-3
42	7	Montreal Canadiens	6 - 3	Lundqvist	24-15-3
43	9	@ Buffalo Sabres	2 - 1 SO	Valiquette	24-15-4
44	10	@ Ottawa Senators	2 - 0	Lundqvist	25-15-4
45	13	@ New York Islanders	2 - 1	Lundqvist	26-15-4
46	16	@ Chicago Blackhawks	3 - 2 OT	Lundqvist	27-15-4
47	18	@ Pittsburgh Penguins	3 - 0	Lundqvist	27-16-4
48	20	Anaheim Ducks	4 - 2	Lundqvist	28-16-4
49	27	Carolina Hurricanes	3 - 2	Valiquette	29-16-4
50	28	@ Pittsburgh Penguins	6 - 2	Lundqvist	29-17-4
51	31	@ Boston Bruins	1 - 0	Lundqvist	29-18-4
