Name	Years	Tests	Drew	Lost	Win percentage
Alex McDonald	1949	4	0	4	0%
Tom Morrison	1950, 55–56	12	1	3	66.7%
Len Clode	1951	3	0	0	100%
Arthur Marslin	1953–1954	5	0	2	60%
Dick Everest	1957	2	0	0	100%
Jack Sullivan	1958–1960	11	1	4	54.5%
Neil McPhail	1961–1965	20	2	2	80%
Ron Bush	1962	2	0	0	100%
Sir Fred Allen	1966–1968	14	0	0	100%
Ivan Vodanovich	1969–1971	10	1	5	40%
Bob Duff	1972–1973	8	1	1	75%
John Stewart	1974–1976	11	1	4	54.5%
Jack Gleeson	1977–1978	13	0	3	76.9%
Eric Watson	1979–1980	9	0	4	55.5%
Peter Burke	1981–1982	11	0	2	81.8%
Bryce Rope	1983–1984	12	1	2	75%
Sir Brian Lochore	1985–1987	18	1	3	77.7%
Alex Wyllie	1988–1991	29	1	3	86.2%
Laurie Mains	1992–1995	34	1	10	67.6%
John Hart	1996–1999	41	1	9	75.6%
Wayne Smith	2000–2001	17	0	5	70.5%
John Mitchell	2002–2003	28	1	4	82.1%
Sir Graham Henry	2004–2011	103	0	15	85.4%
Steve Hansen	2012–	25	1	1	92%
