Polling Firm	Date of Polling	Link	Progressive Conservative	Liberal	New Democratic
Corporate Research Associates	September 29 – October 3, 2011	HTML	59	16	25
Environics	September 29 – October 4, 2011	HTML	54	13	33
MarketQuest Omnifacts Research	September 28–30, 2011	HTML	54	13	33
MarketQuest Omnifacts Research	September 16–19, 2011	HTML	53	18	29
Corporate Research Associates	August 15–31, 2011	PDF	54	22	24
Corporate Research Associates	May 11–28, 2011	PDF	57	22	20
Corporate Research Associates	February 10–28, 2011	PDF	73	18	8
Corporate Research Associates	November 9–30, 2010	PDF	75	16	8
Corporate Research Associates	August 10–30, 2010	PDF	76	17	7
Corporate Research Associates	May 11–31, 2010	PDF	75	16	8
Corporate Research Associates	February 9–25, 2010	PDF	80	15	5
Corporate Research Associates	November 5–22, 2009	PDF	77	16	7
Corporate Research Associates	August 11–29, 2009	PDF	77	15	8
Corporate Research Associates	May 12–30, 2009	PDF	72	19	8
Corporate Research Associates	February 11–28, 2009	PDF	71	22	7
Corporate Research Associates	November 5 – December 2, 2008	PDF	72	19	9
Corporate Research Associates	August 12–30, 2008	PDF	78	14	7
Corporate Research Associates	May 8 – June 1, 2008	PDF	77	13	8
Corporate Research Associates	February 12 – March 4, 2008	PDF	79	14	6
Corporate Research Associates	November 9 – December 3, 2007	PDF	82	12	7
