Rank	Population	Name	Former Name	Municipality
32	197	Upernavik Kujalleq	Søndre Upernavik	Qaasuitsup
33	182	Atammik	—	Qeqqata
34	176	Kangersuatsiaq	Prøven	Qaasuitsup
35	166	Saqqaq	Solsiden	Qaasuitsup
36	161	Qaarsut	—	Qaasuitsup
37	154	Aappilattoq	—	Qaasuitsup
37	154	Ukkusissat	—	Qaasuitsup
39	145	Innaarsuit	—	Qaasuitsup
40	143	Narsarsuaq	Bluie West-1	Kujalleq
41	130	Sarfannguit	—	Qeqqata
42	122	Qeqertaq	Øen	Qaasuitsup
43	110	Aappilattoq	—	Kujalleq
43	110	Tiniteqilaaq	—	Sermersooq
45	106	Arsuk	—	Sermersooq
