No.	#	Title	Directed by	Written by	U.S. viewers (million)	Rank (week)	Original air date
113	3	" Epic Fail "	Greg Yaitanes	Sara Hess & Liz Friedman	14.44	1	September28,2009
114	4	" The Tyrant "	David Straiton	Peter Blake	13.74	10	October5,2009
115	5	" Instant Karma "	Greg Yaitanes	Thomas L. Moran	13.50	13	October12,2009
116	6	" Brave Heart "	Matt Shakman	Lawrence Kaplow	11.65	21	October19,2009
117	7	" Known Unknowns "	Greg Yaitanes	Matthew V. Lewis & Doris Egan	13.31	16	November9,2009
118	8	" Teamwork "	David Straiton	Eli Attie	12.67	18	November16,2009
119	9	" Ignorance Is Bliss "	Greg Yaitanes	David Hoselton	11.95	17	November23,2009
120	10	" Wilson "	Lesli Linka Glatter	David Foster	13.24	6	November30,2009
121	11	" The Down Low "	Nick Gomez	Sara Hess & Liz Friedman	12.25	18	January11,2010
122	12	" Remorse "	Andrew Bernstein	Peter Blake	14.21	6	January25,2010
123	13	" Moving the Chains "	David Straiton	Russel Friend & Garrett Lerner	13.38	15	February1,2010
124	14	" 5 to 9 "	Andrew Bernstein	Thomas L. Moran	13.60	15	February8,2010
125	15	" Private Lives "	Sanford Bookstaver	Doris Egan	12.81	13	March8,2010
126	16	" Black Hole "	Greg Yaitanes	Lawrence Kaplow	11.37	11	March15,2010
128	18	" Knight Fall "	Juan J. Campanella	John C. Kelley	10.81	14	April19,2010
129	19	" Open and Shut "	Greg Yaitanes	Liz Friedman & Sara Hess	10.85	14	April26,2010
130	20	" The Choice "	Juan J. Campanella	David Hoselton	9.98	22	May3,2010
131	21	" Baggage "	David Straiton	Doris Egan & David Foster	9.29	27	May10,2010
