Res.	Record	Opponent	Method	Round	Time	Location
Loss	23-15-6	Yuki Kondo	Decision (unanimous)	1	10:00	Tokyo , Japan
Draw	23-14-6	Osami Shibuya	Draw	1	30:00	Osaka , Japan
Win	23-14-5	Tae Yoon Han	Submission (armbar)	1	0:48	Sendai , Japan
Loss	22-14-5	Jason DeLucia	Decision (unanimous)	1	15:00	Tokyo , Japan
Win	22-12-5	Leon Dijk	Decision (majority)	1	10:00	Nagoya , Japan
Draw	21-13-5	Ryushi Yanagisawa	Draw	1	15:00	Tokyo , Japan
Win	21-13-4	David Moore	Technical Submission (guillotine choke)	1	0:20	Tokyo , Japan
Loss	20-13-4	Jason DeLucia	Submission (armbar)	1	1:13	Urayasu , Japan
Win	20-12-4	Daisuke Watanabe	Submission (rear-naked choke)	1	7:33	Tokyo , Japan
Draw	19-12-4	Katsuomi Inagaki	Draw	2	3:00	Tokyo , Japan
Loss	19-12-3	Bas Rutten	Submission (ankle lock)	1	0:54	Nagoya , Japan
Win	19-11-3	Kiuma Kunioku	Submission (guillotine choke)	1	8:29	Urayasu , Japan
Loss	18-11-3	Frank Shamrock	Submission (rear-naked choke)	1	12:44	Tokyo , Japan
Draw	18-10-3	Kazuo Takahashi	Draw	1	10:00	Fukuoka , Japan
Loss	18-10-2	Semmy Schilt	Submission (rear-naked choke)	1	5:44	Tokyo , Japan
Loss	18-9-2	Guy Mezger	TKO (doctor stoppage)	1	6:14	Tokyo , Japan
Win	18-8-2	Leon Dijk	Submission (ankle lock)	1	2:53	Tokyo , Japan
Win	17-8-2	Vernon White	Submission (heel hook)	1	10:26	Sapporo , Japan
Win	16-8-2	Jason DeLucia	Submission (heel hook)	1	3:03	Urayasu , Japan
Win	15-8-2	Masakatsu Funaki	Submission (heel hook)	1	4:43	Nagoya, Aichi , Japan
Loss	14-8-2	Jason DeLucia	TKO (doctor stoppage)	1	1:41	Yokohama , Japan
Loss	14-7-2	Bas Rutten	TKO (strikes)	1	1:05	Nagoya , Japan
Loss	14-6-2	Ken Shamrock	Decision (unanimous)	1	30:00	Tokyo , Japan
Win	14-5-2	Minoru Suzuki	Submission (armbar)	1	14:46	Tokyo , Japan
Win	13-5-2	Frank Shamrock	Submission (ankle lock)	1	8:38	Tokyo , Japan
Win	12-5-2	Christopher DeWeaver	Submission (heel hook)	1	2:44	Tokyo , Japan
Win	11-5-2	Alex Cook	Submission (armbar)	1	2:27	Tokyo , Japan
Loss	10-5-2	Takaku Fuke	Submission (heel hook)	1	13:47	Osaka , Japan
Win	10-4-2	Matt Hume	Submission (heel hook)	1	2:31	Tokyo , Japan
Win	9-4-2	Andre Van Den Oetelaar	TKO (doctor stoppage)	1	4:52	Amagasaki , Japan
Win	8-4-2	Katsuomi Inagaki	Submission (kneebar)	1	2:04	Tokyo , Japan
Win	7-4-2	Chad Stahelski	Submission (kneebar)	1	2:08	Tokyo , Japan
Win	6-4-2	Naoki Sakurada	Submission (kneebar)	5	1:09	Tokyo , Japan
Win	5-4-2	Kazuhiro Kusayanagi	Submission (armbar)	1	1:05	Tokyo , Japan
Loss	4-4-2	Kenji Kawaguchi	Submission (kneebar)	1	0:36	Tokyo , Japan
Win	4-3-2	Satoshi Honma	Submission (armbar)	1	N/A	Tokyo , Japan
Win	3-3-2	Yutaka Fuji	Submission (kneebar)	1	1:39	Tokyo , Japan
Loss	2-3-2	Satoshi Honma	Submission (armbar)	4	N/A	Tokyo , Japan
Loss	2-2-2	Kenji Kawaguchi	Submission (kneebar)	1	0:58	Tokyo , Japan
Loss	2-1-2	Yasuto Sekishima	KO (punch)	2	N/A	Tokyo , Japan
Win	2-0-2	Yoshimasa Ishikawa	TKO (punches)	1	2:07	Tokyo , Japan
Win	1-0-2	Tomonori Ohara	KO (punch)	1	N/A	Tokyo , Japan
Draw	0-0-2	Takashi Ishizaki	Draw	3	3:00	Tokyo , Japan
Draw	0-0-1	Takashi Tojo	Draw	3	3:00	Tokyo , Japan
