Week	Date	Opponent	Result	Attendance
1	September 6, 1992	Pittsburgh Steelers	L 29–24	63,713
2	September 13, 1992	at Indianapolis Colts	W 20–10	44,851
3	September 20, 1992	Kansas City Chiefs	W 23–20	60,955
4	September 27, 1992	San Diego Chargers	W 27–0	57,491
5	Bye	Bye	Bye	Bye
6	October 11, 1992	at Cincinnati Bengals	W 38–24	54,254
7	October 18, 1992	at Denver Broncos	L 27–21	74,827
8	October 25, 1992	Cincinnati Bengals	W 26–10	58,701
9	November 1, 1992	at Pittsburgh Steelers	L 21–20	58,074
10	November 8, 1992	Cleveland Browns	L 24–14	57,348
11	November 15, 1992	at Minnesota Vikings	W 17–13	56,726
12	November 22, 1992	at Miami Dolphins	L 19–16	63,597
13	November 26, 1992	at Detroit Lions	W 24–21	73,711
14	December 7, 1992	Chicago Bears	W 24–7	62,193
15	December 13, 1992	Green Bay Packers	L 16–14	57,285
16	December 20, 1992	at Cleveland Browns	W 17–14	59,898
17	December 27, 1992	Buffalo Bills	W 27–3	61,742
