-	City / Municipality	No. of Barangays	Area (km 2 )	Population (2010)	Income class (2007)	Mayor (2010–2013)
1	Bacacay	56	122.13	65724	2nd	Tobias Betito
2	Camalig	50	130.90	63585	1st	Carlos Irwin G. Baldo
3	Daraga	54	118.64	115804	1st	Gerry R. Jaucian
4	Guinobatan	44	244.43	75967	1st	Juan M. Garcia II
5	Jovellar	23	105.40	16899	4th	Jorem Archangel
6	Legazpi City (capital)	70	153.70	182201	1st	Noel Rosal
7	Libon	47	222.76	71527	1st	Agnes P. Dycoco
8	Ligao City	55	246.75	104914	4th	Linda P. Gonzales
9	Malilipot	18	44.13	35567	4th	Roli Volante
10	Malinao	29	107.50	42770	3rd	Avelino C. Ceriola
11	Manito	15	107.40	22819	4th	Cesar S. Daep
12	Oas	53	263.61	64785	1st	Gregorio H. Ricarte
13	Pio Duran	33	133.70	45028	3rd	Dante R. Arandia
14	Polangui	44	145.30	82307	1st	Cherilie Mella-Sampal
15	Rapu-Rapu	34	155.30	35875	3rd	Nora Oñate
16	Santo Domingo	23	51.22	32414	4th	Herbie Aguas
17	Tabaco City	47	117.14	125083	4th	Cielo Krisel Lagman-Luistro
