Place	Player	Country	Score	To par	Money ( $ )
T1	Ben Hogan	United States	72-69-72-74=287	+7	Playoff
T1	Lloyd Mangrum	United States	72-70-69-76=287	+7	Playoff
T1	George Fazio	United States	73-72-72-70=287	+7	Playoff
4	Dutch Harrison	United States	72-67-73-76=288	+8	800
T5	Jim Ferrier	Australia	71-69-74-75=289	+9	500
T5	Joe Kirkwood, Jr.	United States	71-74-74-70=289	+9	500
T5	Henry Ransom	United States	72-71-73-73=289	+9	500
8	Bill Nary	United States	73-70-74-73=290	+10	350
9	Julius Boros	United States	68-72-77-74=291	+11	300
T10	Cary Middlecoff	United States	71-71-71-79=292	+12	225
T10	Johnny Palmer	United States	73-70-70-79=292	+12	225
