Heat	Lane	Name	Country	Mark
1	6	Olesya Zykina	Russia	51.96
1	4	Moushaumi Robinson	United States	52.45
1	3	Makelesi Batimala	Fiji	54.02 PB
1	1	Nikolett Listar	Hungary	55.37
1	2	Martina Xuereb	Malta	57.62 NR
1	5	Moya Thompson	Jamaica	DNF
2	5	Natalya Nazarova	Russia	52.40
2	3	Antonina Yefremova	Ukraine	52.64
2	6	Shareese Woods	United States	52.65
2	4	Zuzana Hejnová	Czech Republic	53.04
2	1	Racheal Nachula	Zambia	53.52 NR
2	2	Vera Barbosa	Cape Verde	57.55
3	6	Amantle Montsho	Botswana	52.96 PB
3	2	Angela Morosanu	Romania	53.32 SB
3	5	CXhristy Ekpukhon Ihunaegbo	Nigeria	53.34
3	3	Nataliya Pyhyda	Ukraine	53.44
3	4	Tsvetelina Kirilova	Bulgaria	53.66
3	1	Sandrine Thiébaud-Kanqni	Togo	54.02 SB
