No. in series	No. in season	Title	Directed by	Written by	Featured character(s)	Original air date	U.S. viewers (million)
104/105	1/2	" LA X "	Jack Bender	Damon Lindelof & Carlton Cuse	Various	February2,2010	12.09
106	3	" What Kate Does "	Paul Edwards	Edward Kitsis & Adam Horowitz	Kate	February9,2010	11.05
107	4	" The Substitute "	Tucker Gates	Elizabeth Sarnoff & Melinda Hsu Taylor	Locke	February16,2010	9.82
108	5	" Lighthouse "	Jack Bender	Carlton Cuse & Damon Lindelof	Jack	February23,2010	9.95
109	6	" Sundown "	Bobby Roth	Paul Zbyszewski & Graham Roland	Sayid	March2,2010	9.29
110	7	" Dr. Linus "	Mario Van Peebles	Edward Kitsis & Adam Horowitz	Ben	March9,2010	9.49
111	8	" Recon "	Jack Bender	Elizabeth Sarnoff & Jim Galasso	Sawyer	March16,2010	8.87
112	9	" Ab Aeterno "	Tucker Gates	Melinda Hsu Taylor & Greggory Nations	Richard	March23,2010	9.31
113	10	" The Package "	Paul Edwards	Paul Zbyszewski & Graham Roland	Sun & Jin	March30,2010	10.13
114	11	" Happily Ever After "	Jack Bender	Carlton Cuse & Damon Lindelof	Desmond	April6,2010	9.55
115	12	" Everybody Loves Hugo "	Daniel Attias	Edward Kitsis & Adam Horowitz	Hurley	April13,2010	9.48
116	13	" The Last Recruit "	Stephen Semel	Paul Zbyszewski & Graham Roland	Various	April20,2010	9.53
117	14	" The Candidate "	Jack Bender	Elizabeth Sarnoff & Jim Galasso	Jack & Locke	May4,2010	9.59
118	15	" Across the Sea "	Tucker Gates	Carlton Cuse & Damon Lindelof	Jacob & Man in Black	May11,2010	10.32
119	16	" What They Died For "	Paul Edwards	Edward Kitsis, Adam Horowitz & Elizabeth Sarnoff	Various	May18,2010	10.47
