Game	February	Opponent	Score	Record
50	2	New York Islanders	4 - 4 OT	33-13-4
51	3	@ Boston Bruins	3 - 0	34-13-4
52	7	Washington Capitals	4 - 1	34-14-4
53	9	@ Montreal Canadiens	4 - 3	34-15-4
54	12	@ Ottawa Senators	4 - 3	35-15-4
55	14	@ Quebec Nordiques	4 - 2	36-15-4
56	18	Ottawa Senators	3 - 0	37-15-4
57	19	@ Hartford Whalers	4 - 2	37-16-4
58	21	Pittsburgh Penguins	4 - 3	38-16-4
59	23	Boston Bruins	6 - 3	38-17-4
60	24	@ New Jersey Devils	3 - 1	39-17-4
61	26	@ Dallas Stars	3 - 1	39-18-4
62	28	Philadelphia Flyers	4 - 1	40-18-4
