Year	Game	Genre	Platform(s)	Developer(s)
1997 (1st)	GoldenEye 007	First Person Shooter	Nintendo 64	Rare
1998 (2nd)	The Legend of Zelda: Ocarina of Time	Action-adventure game	Nintendo 64	Nintendo EAD
1999 (3rd)	SoulCalibur	Fighting	Dreamcast	Namco
2000 (4th)	Diablo II	Hack and slash	Windows , Mac OS , Mac OS X	Blizzard North
2001 (5th)	Halo: Combat Evolved	First-person shooter	Xbox , Windows , Mac OS X	Bungie Studios
2002 (6th)	Battlefield 1942	First-person shooter	Windows 98 , Mac OS	Digital Illusions CE
2003 (7th)	Call of Duty	First-person shooter	N-Gage , Windows , OS X	Infinity Ward
2004 (8th)	Half-Life 2	First-person shooter	PlayStation 3 , Xbox , Xbox 360 , Windows	Valve Corporation
2005 (9th)	God of War	Action-adventure game	PlayStation 2	SCE Studios Santa Monica
2006 (10th)	Gears of War	Third-person shooter	Xbox 360 , Windows	Epic Games
2007 (11th)	Call of Duty 4: Modern Warfare	First person shooter	PlayStation 3 , Xbox 360 , Wii , PC	Infinity Ward
2008 (12th)	LittleBigPlanet	Platform game	PlayStation 3	Media Molecule
2009 (13th)	Uncharted 2: Among Thieves	Third-person shooter	PlayStation 3	Naughty Dog
2010 (14th)	Mass Effect 2	RPG	Xbox 360 , Windows , PlayStation 3	BioWare
2011 (15th)	The Elder Scrolls V: Skyrim	RPG	PlayStation 3 , Xbox 360 , Windows	Bethesda Game Studios
2012 (16th)	Journey	Adventure Game	PlayStation 3	Thatgamecompany
