Name	Lifetime	Nationality	Sport	Notes
Graham Ackerman	b. 1983	American	Gymnastics	G
Nicola Adams	b. 1982	English	Boxing	B
Marilyn Agliotti	b. 1979	Dutch	Field hockey	L
Jenny Allard	b. ?	American	Softball	L
Kye Allums	b. 1989	American	Basketball	T
John Amaechi	b. 1970	English	Basketball	G
Eric Anderson	b. 1968	American	Coach	G
Nadine Angerer	b. 1978	German	Football	B
Alyson Annan	b. 1973	Australian	Field hockey	L
Judith Arndt	b. 1976	German	Cycling	L
Mianne Bagger	b. 1966	Danish	Golf	T
Clare Balding	b. 1971	English	Jockey	L
Jim Barnett	1924–2004	American	Wrestling	G
Betty Baxter	b. 1952	Canadian	Volleyball	L
Billy Bean	b. 1964	American	Baseball	G
Shelley Beattie	1967–2008	American	Bodybuilding	L
Kajsa Bergqvist	b.1976	Swedish	Track and field	B
Thomas Berling	b. 1979	Norwegian	Football	G
Mark Bingham	1970–2001	American	Rugby	G
John Blankenstein	1949–2006	Dutch	Football	G
Sabine Braun	b. 1965	German	Track and field	L
Belle Brockhoff	b. 1993	Australian	Snowboard	L
Steve Buckley	b. 1956	American	Journalist	G
Anastasia Bucsis	b. 1989	Canadian	Speed Skating	L
Brendan Burke	1988–2010	American	Ice hockey	G
Glenn Burke	1952–1995	American	Baseball	G
Balian Buschbaum	b. 1980	German	Track and field	T
Ivan Bussens	1960–2007	English	Water polo	G
Jeffrey Buttle	b. 1982	Canadian	Figure skating	G
Latasha Byears	b. 1973	American	Basketball	L
J. P. Calderon	b. 1975	American	Volleyball	G
Liz Carmouche	b. 1984	American	Mixed martial arts	L
Betty Carstairs	1900–1993	English	Power boat racing	L
Parinya Charoenphol	b. 1981	Thai	Boxing	T
Jason Collins	b. 1978	American	Basketball	G
Natalie Cook	b. 1975	Australian	Beach volleyball	L
Roberta Cowell	b. 1918	British	Motor Racing	T
Gottfried von Cramm	1909–1976	German	Tennis	B
Toller Cranston	b. 1949	Canadian	Figure skating	B
Orlando Cruz	b. 1981	Puerto-Rican	Boxing	G
John Curry	1949–1994	English	Figure skating	G
Donal Óg Cusack	b. 1977	Irish	Hurling	G
Steven Davies	b. 1986	English	Cricket	G
Wade Davis	b. 1977	American	American football	G
Carlien Dirkse van den Heuvel	b. 1987	Dutch	Field hockey	L
Michael Dos Santos	b. 1983	Brazilian	Volleyball	G
Robert Dover	b. 1956	American	Equestrian	G
Nancy Drolet	b. 1973	Canadian	Hockey	L
Michelle Duff	b. 1939	Canadian	Motorcycle racing	T
Michelle Dumaresq	b. ?	Canadian	Mountain biking	T
Imke Duplitzer	b. 1975	German	Fencing	L
Justin Fashanu	1961–1998	English	Football	G
Freda du Faur	1882–1935	Australian	Mountaineering	L
Gigi Fernández	b. 1964	Puerto-Rican	Tennis	L
Amini Fonua	b. 1989	Tongan/New Zealand	Swimming	G
Fallon Fox	b. 1975/76	American	Mixed martial arts	T
Edward Gal	b. 1970	Dutch	Equestrian	G
Rudy Galindo	b. 1969	American	Figure skating	G
Vicky Galindo	b. 1983	American	Softball	B
Ed Gallagher	1958–2005	American	American football	G
Melanie Garside-Wight	b. 1979	English	Football	L
Terry Garvin	?-1998	Canadian	Wrestling	G
Jane Geddes	b. 1960	American	Golf	L
Alan Gendreau	b. 1989	American	American football	G
Jessie Godderz	b. 1980	American	Bodybuilding	G
Bobby Goldsmith	1946–1983	Australian	Swimming	G
Andrew Goldstein	b. 1983	American	Lacrosse	G
LZ Granderson	b. ?	American	Journalist	G
Brittney Griner	b. 1990	American	Basketball	L
Emile Griffith	b. 1938	American	Boxing	B
Joan Guetschow	b. 1966	American	Biathlon	L
Peter Häggström	b. 1976	Swedish	Track and field	G
Matthew Hall	b. 1970	Canadian	Figure skating	G
Gro Hammerseng	b. 1980	Norwegian	Handball	L
Kyle Hawkins	b. 1970	American	Lacrosse	G
Kwame Harris	b. 1982	American	American football	G
Bruce Hayes	b. 1963	American	Swimming	G
Sandra Haynie	b. 1943	American	Golf	L
Mathew Helm	b. 1980	Australian	Diving	G
Isabell Herlovsen	b. 1988	Norwegian	Football	L
Edel Therese Høiseth	b. 1966	Norwegian	Speed skating	L
Ursula Holl	b. 1982	German	Football	L
Erika Holst	b. 1979	Swedish	Ice hockey	L
Mia Hundvin	b. 1977	Norwegian	Handball	B
Anton Hysén	b. 1990	Swedish	Football	G
Helen Jacobs	1908–1997	American	Tennis	L
Angela James	b. 1964	Canadian	Hockey	L
Patrick Jeffrey	b. 1965	American	Diving	G
Dorte Dalum Jensen	b. 1978	Danish	Football	L
Barbara Jezeršek	b. 1986	Slovenian	Cross-country skiing	L
Gus Johnston	b. 1979	Australian	Field hockey	G
Rosie Jones	b. 1959	American	Golf	L
Steffi Jones	b. 1972	American-German	Football	L
Orlando Jordan	b. 1974	American	Wrestling	B
Natasha Kai	b. 1983	American	Football	L
Chris Kanyon	1970–2010	American	Wrestling	G
Dane The Fame	b.?	Latin American / Puertorican	Wrestling	G
Peter Karlsson	1966–1995	Swedish	Ice hockey	G
Johan Kenkhuis	b. 1980	Dutch	Swimming	G
Sanne van Kerkhof	b. 1987	Dutch	Short track speed skating	L
Billie Jean King	b. 1943	American	Tennis	L
Ilana Kloss	b. 1956	American	Tennis	L
Dominik Koll	b. 1984	Austrian	Swimming	G
David Kopay	b. 1942	American	American football	G
Daniel Kowalski	b. 1975	Australian	Swimming	G
Andreas Krieger	b. 1966	German	Track and field	T
Kim Lammers	b. 1981	Dutch	Field hockey	L
Jessica Landström	b. 1984	Swedish	Football	L
Lauren Lappin	b. 1984	American	Softball	L
Mark Leduc	1962–2009	Canadian	Boxing	G
Hedvig Lindahl	b. 1983	Swedish	Football	L
Ylva Lindberg	b. 1976	Swedish	Ice hockey	L
Lori Lindsey	b. 1980	American	Football	L
Greg Louganis	b. 1960	American	Diving	G
Hana Mandlíková	b. 1962	Czech	Tennis	L
Christy Martin	b. 1968	American	Boxing	L
Amélie Mauresmo	b. 1979	French	Tennis	L
Robert McCall	1958–1991	Canadian	Figure skating	G
Ray McDonald	1944–1993	American	American football	G
Lindsy McLean	b. ?	American	American football	G
Linda Medalen	b. 1965	Norwegian	Football	L
Harriet Metcalf	b. 1958	American	Rowing	L
Hans Peter Minderhoud	b. 1973	Dutch	Equestrian	G
Matthew Mitcham	b. 1988	Australian	Diving	G
Chris Morgan	b. 1973	English	Powerlifting	G
Jim Morris	b. 1935	American	Bodybuilding	G
Martina Navratilova	b. 1956	Czech-American	Tennis	L
Ondrej Nepela	1951–1989	Slovakian	Figure skating	G
Robert Newton	b. 1981	English	Track and field	G
Bente Nordby	b. 1974	Norwegian	Football	L
Scott Norton	b. 1982	American	Bowling	G
Diana Nyad	b. 1949	American	Swimming	L
Katja Nyberg	b. 1979	Swedish	Handball	L
Graeme Obree	b. 1965	Scottish	Cycling	G
Ryan O'Meara	b. 1984	American	Ice dancing	G
Brian Orser	b. 1961	Canadian	Figure skating	G
Nigel Owens	b. 1971	Welsh	Rugby	G
Dave Pallone	b. 1951	American	Baseball	G
Bob Paris	b. 1959	American	Bodybuilding	G
Sandy Parker	b. 1952	Canadian	Wrestling	L
Lily Parr	1905–1978	English	Football	L
Anja Pärson	b. 1981	Swedish	Downhill Skiing	L
Pat Patterson	b. 1941	Canadian	Wrestling	G
Maartje Paumen	b. 1985	Dutch	Field hockey	L
Lee Pearson	b. 1974	English	Equestrian	G
Otto Peltzer	1900–1970	German	Track and field	G
Mike Penner	1957–2009	American	Journalist	T
Beate Peters	b. 1959	German	Track and field	L
David Pichler	b. 1968	American	Diving	G
Aslie Pitter	b. 1960	English	Football	G
Brian Pockar	1959–1992	Canadian	Figure skating	G
Hope Powell	b. 1966	English	Football	L
Megan Rapinoe	b. 1985	American	Football	L
Lisa Raymond	b. 1973	American	Tennis	L
Stephen Rhodes	b. 1984	American	Race driving	G
Renée Richards	b. 1934	American	Tennis	T
Ian Roberts	b. 1965	Australian	Rugby league	G
Ronald Robertson	1937–2000	American	Figure skating	G
Petra Rossner	b. 1966	German	Cycling	L
Olivier Rouyer	b. 1955	French	Football	G
Robbie Rogers	b. 1987	American	Football	G
Matthew Rush	b. 1972	American	Bodybuilding	G
Jaiyah Saelua	b. 1988	Samoan	Football	T
Victoria Sandell Svensson	b. 1977	Swedish	Football	L
Erik Schinegger	b. 1948	Austrian	Downhill Skiing	T
Patty Sheehan	b. 1956	American	Golf	L
Will Sheridan	b. 1985	American	Basketball	G
Eudy Simelane	1977–2008	South African	Football	L
Roy Simmons	b. 1956	American	American football	G
Brian Sims	b. 1978	American	American football	G
