Week	Date	Opponent	Location	Final Score	Attendance	Record
1	July 14	Eskimos	SkyDome	L 40–34	26815	0–1
2	July 20	@ Blue Bombers	Winnipeg Stadium	L 34–17	25691	0–2
3	July 28	@ Tiger-Cats	Ivor Wynne Stadium	W 41–29	20387	1–2
4	August 4	Rough Riders	SkyDome	W 30–26	28333	2–2
5	August 9	@ Stampeders	McMahon Stadium	L 42–17	22241	2–3
6	August 16	@ Rough Riders	Lansdowne Park	W 41–25	27591	3–3
7	August 22	Blue Bombers	SkyDome	L 27–23	30249	3–4
7	August 27	@ Eskimos	Commonwealth Stadium	L 56–36	28151	3–5
8	September 1	Lions	SkyDome	W 68–43	31003	4–5
9	September 6	@ Lions	BC Place Stadium	W 49–19	36330	5–5
10	September 15	@ Tiger-Cats	Ivor Wynne Stadium	W 39–16	14025	6–5
11	September 20	Stampeders	SkyDome	W 70–18	27868	7–5
12	September 29	Tiger-Cats	SkyDome	W 60–39	30793	8–5
13	October 5	@ Blue Bombers	Winnipeg Stadium	L 25–9	30484	8–6
14	October 13	Blue Bombers	SkyDome	L 21–16	33269	8–7
15	October 20	Roughriders	SkyDome	W 59–15	40429	9–7
16	October 28	@ Roughriders	Taylor Field	L 33–31	26139	9–8
