Peak	Height (m)	Prom. (m)	Class	Parent
Skiddaw	931	709	P600	Helvellyn
Blencathra	868	461	Marilyn	Skiddaw
Skiddaw Little Man	865	61	Hewitt	Skiddaw
Gategill Fell Top	851	17	Nuttall	Blencathra
Atkinson Pike	845	16	Nuttall	Blencathra
Carl Side	746	30	Hewitt	Skiddaw
Long Side	734	40	Hewitt	Skiddaw
Lonscale Fell	715	50	Hewitt	Skiddaw Little Man
Knott	710	242	Marilyn	Skiddaw
Bowscale Fell	702	87	Hewitt	Blencathra
Great Calva	690	142	Hewitt	Knott
Bannerdale Crags	683	37	Hewitt	Bowscale Fell
Sale How	666	18	Nuttall	Skiddaw
Carrock Fell	663	91	Hewitt	Knott
High Pike	658	69	Hewitt	Knott
Little Calva	642	15	Nuttall	Great Calva
Hare Stones	627	16	Nuttall	High Pike
Great Lingy Hill	616	18	Nuttall	High Pike
