Year	Entrant	Chassis	Engine	Points
1961	Scuderia Centro Sud	Cooper T53	Maserati Straight-4	0
1962	Scuderia Ferrari	Ferrari 156	Ferrari V6	4
1963	Scuderia Centro Sud	BRM P57	BRM V8	6
1963	Scuderia Ferrari	Ferrari 156	Ferrari V6	6
1964	Scuderia Ferrari	Ferrari 156	Ferrari V6	23
1964	Scuderia Ferrari	Ferrari 158	Ferrari V8	23
1964	North American Racing Team	Ferrari 1512	Ferrari Flat-12	23
1965	Scuderia Ferrari	Ferrari 1512	Ferrari Flat-12	13
1965	Scuderia Ferrari	Ferrari 158	Ferrari V8	13
1966	Scuderia Ferrari	Ferrari 246	Ferrari V6	12
1966	Scuderia Ferrari	Ferrari 312/66	Ferrari V12	12
1967	Scuderia Ferrari	Ferrari 312/67	Ferrari V12	0
