Team	Outgoing manager	Manner of departure	Date of vacancy	Replaced by	Date of appointment
Karşıyaka	Erdoğan Arıca	Mutual consent	01 Sep 2010	Kemal Kılıç	07 Sep 2010
Adanaspor	Kemal Kılıç	Mutual consent	06 Sep 2010	Cemal Gürsel Menteşe	14 Sep 2010
Gaziantep BB	Cemal Gürsel Menteşe	Mutual consent	08 Sep 2010	Erol Azgın	08 Sep 2010
Altay	Ercan Ertemçöz	Mutual consent	05 Oct 2010	Coşkun Demirbakan	06 Oct 2010
Giresunspor	Hüsnü Özkara	Mutual consent	10 Oct 2010	Bahri Kaya	14 Oct 2010
Mersin İdmanyurdu	Yüksel Yeşilova	Mutual consent	17 Oct 2010	Nurullah Sağlam	20 Oct 2010
Diyarbakırspor	Suat Kaya	Resignation	23 Oct 2010	Engin Korukır	03 Nov 2010
Adanaspor	Cemal Gürsel Menteşe	Resignation	26 Oct 2010	Osman Özdemir	09 Nov 2010
Kartalspor	Ergün Penbe	Resignation	09 Dec 2010	Engin Korukır	29.12.2010
Karşıyaka	Kemal Kılıç	Mutual consent	23 Dec 2010	Turgut Uçar	28 Dec 2010
Diyarbakırspor	Engin Korukır	Mutual consent	29 Dec 2010	Ercan Albay	02 Jan 2011
Diyarbakırspor	Ercan Albay	resigned	16 Jan 2011	Nevzat Türker	21 Jan 2011
Denizlispor	Hamza Hamzaoğlu	resigned	29 Jan 2011	Kenan Atik	17 Feb 2011
Karşıyaka	Turgut Uçar	resigned	21 Feb 2011	Reha Kapsal	22 Feb 2011
Akhisar B.G.S.	Atilla Özcan	resigned	27 Feb 2011	Hamza Hamzaoğlu	28 Feb 2011
Adanaspor	Osman Özdemir	resigned	27 Feb 2011	Eyüp Arın	28 Feb 2011
Denizlispor	Kenan Atik	became assistant manager	01 Mar 2011	Serhat Güller	01 Mar 2011
Kayseri Erciyesspor	Levent Devrim	resigned	02 Mar 2011	Ergün Penbe	02 Mar 2011
Diyarbakırspor	Nevzat Türker	became assistant manager	22 Mar 2011	Kemal Zeydan	22 Mar 2011
Orduspor	Uğur Tütüneker	resigned	21 Mar 2011	Metin Diyadin	22 Mar 2011
Altay	Coşkun Demirbakan	resigned	11 Apr 2011	Mehmet Altıparmak	11 Apr 2011
Denizlispor	Serhat Güller	resigned	25 Apr 2011	Kenan Atik	25 Apr 2011
