Date	Company	Business	Country	Value ( USD )
Unknown	Celerity Energy Partners San Diego LLC	Energy	United States	Unknown
2009	Cogent Energy, Inc.	Green Building	United States	Unknown
Unknown	ENOC Securities Corporation	Securities	United States	Unknown
Unknown	EnerNOC Ltd.	Energy	Canada	Unknown
Unknown	EnerNOC UK Limited	Energy	United Kingdom	Unknown
Unknown	Mdenergy, LLC	Energy	United States	Unknown
Unknown	Pinpoint Power DR LLC	Energy	United States	Unknown
Unknown	South River Consulting, LLC	Energy	United States	Unknown
Unknown	Global Energy Partners, Inc.	Energy	United States	Unknown
2011	M2M Communications Corporation	Energy	United States	Unknown
Unknown	EnerNOC Australia Pty Ltd	Energy	Australia	Unknown
Unknown	DMT Energy Pty Ltd	Energy	Australia	Unknown
Unknown	Energy Response Holdings Pty Ltd	Energy	Australia	Unknown
Unknown	EnerNOC Pty Ltd	Energy	Australia	Unknown
Unknown	EnerNOC New Zealand Limited	Energy	New Zealand	Unknown
Unknown	High Street Corporation Pty Ltd	Energy	Australia	Unknown
