Rider	Manufacturer	Laps	Time/Retired	Grid
Dani Pedrosa	Honda	30	41:53.196	2
Loris Capirossi	Ducati	30	+13.166	7
Nicky Hayden	Honda	30	+16.771	14
Colin Edwards	Yamaha	30	+18.299	13
Casey Stoner	Ducati	30	+31.426	1
Marco Melandri	Honda	30	+31.917	3
John Hopkins	Suzuki	30	+33.395	5
Anthony West	Kawasaki	30	+41.194	12
Alex Hofmann	Ducati	30	+43.214	16
Michel Fabrizio	Honda	30	+44.459	17
Chris Vermeulen	Suzuki	30	+1:01.894	11
Kurtis Roberts	KR212V	30	+1:10.721	19
Makoto Tamada	Yamaha	28	+2 Laps	18
Carlos Checa	Honda	27	+3 Laps	15
Randy de Puniet	Kawasaki	29	Retirement	4
Shinya Nakano	Honda	19	Retirement	10
Alex Barros	Ducati	9	Accident	8
Valentino Rossi	Yamaha	5	Accident	6
Sylvain Guintoli	Ducati	3	Accident	9
