Pick #	MLS Team	Player	Position	Affiliation
49	Philadelphia Union	Brian Perk	Goalkeeper	UCLA Seattle Wolves
51	Chicago Fire	* Sean Johnson	Goalkeeper	University of Central Florida Atlanta Blackhawks
52	Kansas City Wizards	Ofori Sarkodie	Defender	Indiana University
53	Toronto FC	Joseph Nane	Midfielder	Old Dominion University Hampton Roads Piranhas
54	FC Dallas	Dane Saintus	Midfielder	Southern Methodist University DFW Tornados
55	D.C. United	Jordan Graye	Defender	University of North Carolina Cary Clarets
56	Colorado Rapids	Chris Cutshaw	Midfielder	Bradley University Chicago Fire Premier
57	New England Revolution	Adam Welch	Defender	Lehigh University Reading Rage
58	Chivas USA	Chris Ross	Midfielder	Colgate University DFW Tornados
59	Seattle Sounders FC	Jamel Wallace	Midfielder	San Diego State University
60	Columbus Crew	Kwaku Nyamekye	Defender	Harvard University
61	Columbus Crew	Othaniel Yanez	Midfielder	University of Louisville Yakima Reds
62	Houston Dynamo	Euan Holden	Defender	University of New Mexico Austin Aztex U23
63	Columbus Crew	Shaun Francis	Defender	Lindsey Wilson College Thunder Bay Chill
