Week #	Theme	Song choice	Original artist	Order #	Result
Audition	N/A	" The Climb "	Miley Cyrus	N/A	Advanced
Hollywood	Group Round	" Get Ready "	The Temptations	N/A	Advanced
Hollywood	Second Solo	" Angel "	Sarah McLachlan	N/A	Advanced
Top 24 (12 Men)	Billboard Hot 100 Hits	" Here Comes Goodbye "	Rascal Flatts	2	Safe
Top 20 (10 Men)	Billboard Hot 100 Hits	" My Girl "	The Temptations	8	Safe
Top 16 (8 Men)	Billboard Hot 100 Hits	" I'm Already There "	Lonestar	6	Safe
Top 12	The Rolling Stones	" Angie "	The Rolling Stones	11	Safe
Top 11	Billboard Number 1 Hits	" I Don't Want to Miss a Thing "	Aerosmith	4	Safe
Top 10	R&B / Soul	" Ain't No Sunshine "	Bill Withers	10	Safe
Top 9	Lennon–McCartney	" The Long and Winding Road "	The Beatles	1	Bottom 3
Top 9	Elvis Presley	" Blue Suede Shoes "	Carl Perkins	5	Safe
Top 7	Inspirational	" I Believe I Can Fly "	R. Kelly	4	Bottom 3
Top 6	Shania Twain	" You've Got a Way "	Shania Twain	5	Safe
