Cover Date	Story Title	Writer/s	Letterer/s	Colourist/s
12 September 1987	WORLDS APART (Part 1)	Simon Furman	Annie Halfacree	Steve White
12 September 1987	Ring of Hate (Part 1)	Bob Budiansky	Albers	Nelson Yomtov
19 September 1987	WORLDS APART (Part 2)	Simon Furman	Annie Halfacree	Nick Abadzis
19 September 1987	Ring of Hate (Part 2)	Bob Budiansky	Albers	Nelson Yomtov
26 September 1987	KUP'S STORY	Simon Furman	Annie Halfacree	Steve White
26 September 1987	Ring of Hate (Part 3)	Bob Budiansky	Albers	Nelson Yomtov
3 October 1987	HEAD HUNT (PART 1)	Simon Furman	Richard Starkings	Steve White
3 October 1987	Ring of Hate (Part 4)	Bob Budiansky	Albers	Nelson Yomtov
10 October 1987	HEAD HUNT (PART 2)	Simon Furman	Richard Starkings	Steve White
10 October 1987	Broken Glass (Part 1)	Bob Budiansky	Albers	Nelson Yomtov
17 October 1987	GRUDE MATCH (PART 1)	Simon Furman	Annie Halfacree	Steve White
17 October 1987	Broken Glass (Part 2)	Bob Budiansky	Albers	Nelson Yomtov
24 October 1987	GRUDE MATCH (PART 2)	Simon Furman	Annie Halfacree	Steve White
24 October 1987	Broken Glass (Part 3)	Bob Budiansky	Albers	Nelson Yomtov
31 October 1987	LADIES' NIGHT (PART 1)	Simon Furman	Annie Halfacree	Euan Peters
31 October 1987	Broken Glass (Part 4)	Bob Budiansky	Albers	Nelson Yomtov
7 November 1987	LADIES' NIGHT (PART 2)	Simon Furman	Annie Halfacree	Nick Abadzis
7 November 1987	Love and Steel (Part 1)	Bob Budiansky	Albers	Nelson Yomtov
14 November 1987	Used Autobots (Part 1)	Bob Budiansky	Albers	Nelson Yomtov
14 November 1987	Love and Steel (Part 2)	Bob Budiansky	Albers	Nelson Yomtov
21 November 1987	Used Autobots (Part 2)	Bob Budiansky	Albers	Nelson Yomtov
21 November 1987	Love and Steel (Part 3)	Bob Budiansky	Albers	Nelson Yomtov
28 November 1987	Child's Play (Part 1)	Bob Budiansky	Jack Morelli	Nelson Yomtov
28 November 1987	Love and Steel (Part 4)	Bob Budiansky	Albers	Nelson Yomtov
5 December 1987	Child's Play (Part 2)	Bob Budiansky	Jack Morelli	Nelson Yomtov
5 December 1987	Brothers In Armour (Part 1)	Bob Budiansky	Albers	Nelson Yomtov
12 December 1987	Spacehikers (Part 1)	Bob Budiansky	Albers	Nelson Yomtov
12 December 1987	Brothers In Armour (Part 2)	Bob Budiansky	Albers	Nelson Yomtov
19 December 1987	Spacehikers (Part 2)	Bob Budiansky	Albers	Nelson Yomtov
19 December 1987	Brothers In Armour (Part 3)	Bob Budiansky	Albers	Nelson Yomtov
26 December 1987	STARGAZING	Simon Furman (Plot) & Ian Rimmer (Script)	Annie Halfacree	Euan Peters
26 December 1987	Brothers In Armour (Part 4)	Bob Budiansky	Albers	Nelson Yomtov
