Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Cubs	4 - 3	Wood (2-1)	40, 849	16-12
May 2	@ Astros	7 - 4	Villanueva (1-3)	39,715	16-13
May 3	@ Astros	6 - 2	Parra (1-2)	35,002	16-14
May 4	@ Astros	8 - 6	Stetter (1-1)	38,301	16-15
May 6	@ Marlins	3 - 0	Suppan (1-2)	10,113	16-16
May 7	@ Marlins	6 - 2	Bush (0-4)	10,405	16-17
May 8	@ Marlins	7 - 2	Villanueva (1-4)	12,321	16-18
May 9	Cardinals	4 - 3	Isringhausen (1-4)	42,705	17-18
May 10	Cardinals	5 - 3	Gagné (1-2)	43,382	17-19
May 11	Cardinals	5 - 3	Looper (5-2)	41,197	18-19
May 12	Cardinals	8 - 3	Wainright (3-2)	25,757	19-19
May 13	Dodgers	5 - 3	Penny (5-4)	26,465	20-19
May 14	Dodgers	6 - 4	Mota (1-2)	27,562	20-20
May 15	Dodgers	7 - 2	Sheets (4-1)	30,444	20-21
May 17	@ Red Sox	5 - 3	Suppan (2-3)	37,409	20-22
May 17	@ Red Sox	7 - 6	Torres (3-1)	37,847	20-23
May 18	@ Red Sox	11 - 7	Villanueva (2-5)	37, 204	20-24
May 20	@ Pirates	7 - 2	Maholm (2-5)	11,761	21-24
May 21	@ Pirates	4 - 1	Snell (2-3)	8,805	22-24
May 22	@ Pirates	8 - 4	Bush (1-5)	12,887	22-25
May 23	@ Nationals	5 - 1	Suppan (2-4)	28,007	22-26
May 24	@ Nationals	5 - 2	Lannan (4-5)	30,029	23-26
May 25	@ Nationals	7 - 6	Mota (1-3)	35,567	23-27
May 26	@ Nationals	4 - 3	Rivera (3-2)	28,552	24-27
May 27	Braves	3 - 2	Bennett (0-3)	28,872	25-27
May 28	Braves	1 - 0	Reyes (2-3)	31,612	26-27
May 29	Braves	8 - 1	McClung (2-2)	33,334	26-28
May 30	Astros	5 - 1	Backe 4-6	32,039	27-28
May 31	Astros	4 - 1	Moehler (2-2)	42,913	28-28
