Vol.	English title	Japanese title	Release date (Japan)	Sony Catalog No.
#01	Garou: Mark of the Wolves	餓狼-MARK OF THE WOLVES-	June 30, 2005	SLPS-25509
#02	The Last Blade 1 and 2	幕末浪漫 月華の剣士１・２	January 12, 2006	SLPS-25503
#03	The King of Fighters: Orochi Collection	THE KING OF FIGHTERS -オロチ編-	April 20, 2006	SLPS-25605
#04	Art of Fighting Anthology	龍虎の拳〜天・地・人〜	May 11, 2006	SLPS-25610
#05	Fatal Fury Battle Archives 1	餓狼伝説バトルアーカイブズ１	July 20, 2006	SLPS-25664
#06	Fatal Fury Battle Archives 2	餓狼伝説バトルアーカイブズ２	February 22, 2007	SLPS-25698
#07	The King of Fighters: NESTS Collection	THE KING OF FIGHTERS -ネスツ編-	April 19, 2007	SLPS-25661
#08	Fu'un Super Combo	風雲スーパーコンボ	June 21, 2007	SLPS-25781
#09	World Heroes Anthology	ワールドヒーローズ ゴージャス	October 18, 2007	SLPS-25782
#10	The King of Fighters '98: Ultimate Match	THE KING OF FIGHTERS '98 ULTIMATE MATCH	June 26, 2008	SLPS-25783
#11	Sunsoft Collection	サンソフトコレクション	June 26, 2008	SLPS-25849
#12	Samurai Shodown Anthology	サムライスピリッツ六番勝負	July 24, 2008	SLPS-25839
