Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1975	Edgar Michalowski	Monika Cassens	Edgar Michalowski Erfried Michalowsky	Monika Cassens Angela Michalowski	Edgar Michalowski Monika Cassens
1976	Edgar Michalowski	Monika Cassens	Edgar Michalowski Erfried Michalowsky	Monika Cassens Angela Michalowski	Erfried Michalowsky Angela Michalowski
1977	Michal Malý	Monika Cassens	Michal Malý Karel Lakomý	Monika Cassens Angela Michalowski	Edgar Michalowski Monika Cassens
1978	Georg Simon	Monika Cassens	Georg Simon Rolf Heyer	Monika Cassens Christine Ober	Edgar Michalowski Monika Cassens
1979	Edgar Michalowski	Monika Cassens	Thomas Kihlström Tor Sundberg	Monika Cassens Angela Michalowski	Edgar Michalowski Monika Cassens
1980	Michal Malý	Monika Cassens	Michal Malý Karel Lakomý	Monika Cassens Ilona Michalowsky	Edgar Michalowski Monika Cassens
1981	Michal Malý	Liselotte Blumer	Michal Malý Karel Lakomý	Catharine Troke Gillian Gowers	Nigel Tier Catharine Troke
1982	Michal Malý	Liselotte Blumer	Barry Burns Mark Richards	Bożena Wojtkowska Ewa Rusznica	Erfried Michalowsky Monika Cassens
1983	Zhang Qiang	Shi Wen	Lu Hengwen Zheng Zhijun	Chen Guirong Shi Wen	Zhang Qiang Shi Wen
1984	Bengt Svenningsen	Gao Meifeng	Zhang Xinguang Wang Jian	Gao Meifeng Nong Qunhua	Zhang Xinguang Gao Meifeng
1985	Zheng Zhijun	Luo Yun	Wang Pengren Shu Yiong	Shi Fangjing Sun Xiaoqing	Wang Pengren Shi Fangjing
1986	Zhang Qingwu	Wu Yuhong	Huang Zhen Chen Hongyong	Shi Fangjing Wu Yuhong	Wang Pengren Shi Fangjing
1987	Anders Nielsen	Irina Rozhkova	Peter Axelsson Jesper Olsson	Bożena Haracz Bożena Siemieniec	Andrey Antropov Viktoria Pron
1988	Peter Axelsson	Lee Young-suk	Park Joo-bong Lee Sang-bok	Chung Myung-hee Hwang Hye-young	Park Joo-bong Chung Myung-hee
1989	No competition	No competition	No competition	No competition	No competition
1990	Fung Permadi	Chen Ying	Thomas Stuer-Lauridsen Christian Jacobsen	Chen Ying Sheng Wengqing	Christian Jacobsen Marlene Thomsen
1991	Joko Suprianto	Yuliana Santoso	Rexy Mainaky Ricky Subagja	Catherine Eliza Nathanael	Liu Jianjun Wang Xiaoyuan
1992	Steve Butler	Marina Yakusheva	Max Gandrup Christian Jacobsen	Marina Yakuscheva Marina Andrievskaia	Christian Jacobsen Marianne Rasmussen
1993	Lioe Tiong Ping	Anne Sondergaard	S. Antonius Budi Ariantho Denny Kantono	Anne Sondergaard Lotte Thomsen	Rudy Gunawan Rosiana Tendean
1994	Indra Wijaya	Margit Borg	Ade Sutrisna Candra Wijaya	Eny Oktaviani Nonong Denis Zanati	Flandy Limpele Dede Hasanah
1995	Budi Santoso	Olivia	Hadi Sugianto Seng Kok Keong	Emma Ermawati Indarti Isolina	I. Paulus Rosalia Anastasia
1996	Yu Lizhi	Meiluawati	Tao Xiaoqiang Ge Cheng	Christine Magnusson Marina Andrievskaia	Chen Xingdong Peng Xingyong
1997	Tam Kai Chuen	Yuli Marfuah	Tony Gunawan Victo Wibowo	Etty Tantri Cynthia Tuwankotta	Flandy Limpele Etty Tantri
1998	Daniel Eriksson	Elena Sukhareva	Julian Robertson Nathan Robertson	Ann-Lou Jørgensen Tine Rasmussen	Lars Paaske Jane F. Bramsen
1999	Rio Suryana	Elena Nozdran	Michał Łogosz Robert Mateusiak	Ang Li Peng Chor Hooi Yee	Ma Che Kong Koon Wai Chee
2000	Vladislav Druzchenko	Takako Ida	Chang Kim Wai Hong Chieng Hun	Haruko Matsuda Yoshiko Iwata	Chen Qiqiu Chen Lin
2001	No competition	No competition	No competition	No competition	No competition
2002	Przemysław Wacha	Kamila Augustyn	Michał Łogosz Robert Mateusiak	Kamila Augustyn Nadiezda Kostiuczyk	Mike Beres Kara Solmundson
2003	Kasper Ødum	Xu Huaiwen	Michał Łogosz Robert Mateusiak	Chichiro Ohsaka Akiko Nakashima	Jörgen Olsson Frida Andreasson
2004	Chen Jin	Lu Lan	Guo Zhendong Xie Zhongbo	Du Jing Yu Yang	Vladislav Druzchenko Elena Nozdran
2005	Przemysław Wacha	Petya Nedeltcheva	Michał Łogosz Robert Mateusiak	Kamila Augustyn Nadiezda Kostiuczyk	Robert Mateusiak Nadiezda Kostiuczyk
2006	Przemysław Wacha	Atu Rosalina	Michał Łogosz Robert Mateusiak	Kamila Augustyn Nadiezda Kostiuczyk	Robert Mateusiak Nadiezda Kostiuczyk
2007	Vladislav Druzchenko	Chie Umezu	Mikkel Delbo Larsen Jacob Chemnitz	Kamila Augustyn Nadiezda Kostiuczyk	Robert Mateusiak Nadiezda Kostiuczyk
2008	Marc Zwiebler	Juliane Schenk	Michal Logosz Robert Mateusiak	Shendy Puspa Irawati Meiliana Jauhari	Robert Mateusiak Nadiezda Kostiuczyk
2009	Dicky Palyama	Wang Linling	Lin Yu-lang Chen Hung-ling	Diana Dimova Petya Nedelcheva	Michał Łogosz Olga Konon
2010	Pablo Abian	Kana Ito	Vladimir Ivanov Ivan Sozonov	Shinta Mulia Sari Lei Yao	Andrej Ashmarin Anastasia Prokopenko
2011	Pablo Abian	Larisa Griga	Vladimir Ivanov Ivan Sozonov	Rie Eto Yu Wakita	Robert Mateusiak Nadiezda Kostiuczyk
2012	Hsu Jen-hao	Ai Goto	Vladimir Ivanov Ivan Sozonov	Mariana Agathangelou Heather Olver	Nathan Robertson Jenny Wallwork
2013	Vladimir Malkov	Shizuka Uchida	Adam Cwalina Przemysław Wacha	Rie Eto Yu Wakita	Robert Mateusiak Nadieżda Zięba
