Tournament	2007	2008	2009	2010	2011	2012
Australian Open	A	A	Q2	Q1	2R	1R
French Open	A	A	2R	Q2	3R	4R
Wimbledon	A	A	Q1	1R	Q2	3R
US Open	A	A	1R	Q2	2R	1R
Win–Loss	0–0	0–0	1–2	0–1	4–3	5–4
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	A	A	Q2	Q1	1R
Miami	A	A	1R	1R	1R	Q2
Madrid	Not Held	Not Held	A	A	1R	A
Beijing	Tier II	Tier II	A	A	A	A
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	Tier II	Tier II	A	A	A	Premier
Doha	T II	A	Not Held	Not Held	P	Q1
Rome	A	A	A	A	A	A
Canada	A	A	A	Q2	A	1R
Cincinnati	A	A	A	A	A	Q1
Tokyo	A	A	A	A	1R	A
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Year End Ranking	465	188	107	138	84	68
